battle_skeletons_tables
15
head_node	hips_node	leftarm_node	leftfoot_node	lefthand_node	leftleg_node	leftshoulder_node	leftupleg_node	leftwheel_node	name	neck_node	rightarm_node	rightfoot_node	righthand_node	rightleg_node	rightshoulder_node	rightupleg_node	rightwheel_node	root	scale	scale_deviation	spine_node	weapon1_node	weapon2_node	weapon3_node	weapon4_node	weapon5_node	leftfinger_node	rightfinger_node	lefttoe_node	righttoe_node	category_man	category_mount	category_engine	weapon6_node	category_animal	category_fauna	cinematic	locomotion	leftwingbase_node	rightwingbase_node	head_tracking_angle	back_node	front_left_upper_leg_node	front_right_upper_leg_node	front_lefttoe_node	front_righttoe_node	rear_left_upper_leg_node	rear_right_upper_leg_node	rear_lefttoe_node	rear_righttoe_node	footstep_nodes	footstep_detection_height	articulation_node	flying_pivot_node	filter_projectiles_node	torso_splice_node
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		advisor01	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02				
head_0	root	wing_left_0	foot_left_0	wing_left_2	leg_left_1	wing_shoulder_left_0	leg_left_0		advisorcrow01	neck_0	wing_right_0	foot_right_0	wing_right_2	leg_right_1	wing_shoulder_right_0	leg_right_0		animRoot	1	0	spine_0						toe_inner_left_0	toe_inner_right_0	toe_inner_left_0	toe_inner_right_0	True	False	False		False	False	False	winged	wing_shoulder_left_0	wing_shoulder_right_0	45										toe_inner_left_0;toe_inner_right_0	0.02		spine_2		
	root								agentship01									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								agentship02									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
head_0	root	upperarm_left	leg_left_2	hand_left	leg_right_0	clav_left	leg_left_0		ape01	neck_0	upperarm_right	leg_right_2	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						finger_index_left_0	finger_index_right_0	toe_middle_left_0	toe_middle_right_0	True	False	False		False	False	False	biped			45	spine_2									toe_middle_left_0;toe_middle_right_0	0.02			thumb_, finger_, 	
head	root	wing_left_0	leg_left_2	wing_left_2	leg_left_1	wing_shoulder_left_0	leg_left_0		bat01	neck_0	wing_right_0	leg_right_2	wing_right_2	leg_right_1	wing_shoulder_right_0	leg_right_0		animRoot	1	0	spine_0						feather_primary_outer_left_0	feather_primary_outer_right_0			True	False	False		False	False	False	winged	wing_shoulder_left_0	wing_shoulder_right_0	45		leftarm	rightarm	leftfingerbase	rightfingerbase	leftupleg	rightupleg	lefttoeBase	righttoebase	leg_left_2;leg_right_2	0.02		spine_2		
	root								beastmenship01									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		bigcat02	neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						claw_middle_left_0	claw_middle_right_0	toe_left_0	toe_right_0	False	True	False		False	False	False	quadruped	wing_shoulder_left_0	wing_shoulder_right_0	45		upperarm_left	upperarm_right	claw_middle_left_0	claw_middle_right_0	leg_left_0	leg_right_0	toe_left_0	toe_right_0	toe_left_0;toe_right_0;claw_middle_left_0;claw_middle_right_0	0.02		spine_2	hand_, foot_, 	
head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		bigcat02b	neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						claw_middle_left_0	claw_middle_right_0	toe_left_0	toe_right_0	False	True	False		False	False	False	quadruped	wing_shoulder_left_0	wing_shoulder_right_0	45	spine_2	upperarm_left	upperarm_right	claw_middle_left_0	claw_middle_right_0	leg_left_0	leg_right_0	toe_left_0	toe_right_0	toe_left_0;toe_right_0;claw_middle_left_0;claw_middle_right_0	0.02		spine_2	hand_, foot_, barding_	
head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		bigcat03	neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						claw_inner_left_0	claw_inner_right_0	toe_inner_left_0	toe_inner_right_0	False	True	False		False	False	False	winged_quadruped	wing_shoulder_left_0	wing_shoulder_right_0	45		upperarm_left	upperarm_right	claw_inner_left_0	claw_inner_right_0	leg_left_0	leg_right_0	toe_inner_left_0	toe_inner_right_0	toe_inner_left_0;toe_inner_right_0;claw_inner_right_0;claw_inner_left_0	0.02		spine_2	hand_, foot_, pincer_	
