unit_banners_tables
3
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13
0.25	0.15	0.5	0.5	default	0.25	0.15	0.5	0.5	-1	0	4	banner_ver_01	6.6
0.42	0.08500001	0.67	0.67	wh2_main_def_dark_elves	0.57	0.22	0.36	0.36	-1	0	4.6	banner_ver_01	6.6
0	0	1	1	wh2_main_hef_high_elves	0.12	0.4	0.3	0.3	-1	0	4.3	banner_ver_01	6.6
0.32	0.415	0.6	0.6	wh2_main_lzd_lizardmen	0.44	0.5199999	0.38	0.38	-1	0	4.8	banner_lzd_01	7.2
0.4	0.28	0.4	0.4	wh2_main_rogue_armies	0.4	0.28	0.4	0.4	-1	0	4.7	banner_ver_01	6.6
0.02	0.135	0.45	0.45	wh2_main_skv_skaven	0.12	0.28	0.25	0.25	-1	0	4.3	banner_ver_01	6.6
0.51	0.39	0.47	0.43	wh_dlc03_bst_beastmen	0.57	0.47	0.34	0.34	-1	0	4.7	banner_ver_01	6.6
0.2	0.465	0.45	0.45	wh_dlc03_bst_beastmen_brayherd	0.2	0.465	0.45	0.45	-1	0	4.6	banner_hor_01	6.8
0.1	0.16	0.4	0.4	wh_dlc05_wef_wood_elves	0.1	0.16	0.4	0.4	-1	0	4	banner_wef_01	6.6
0.08000001	0.1	0.47	0.47	wh_main_brt_bretonnia	0.12	0.15	0.4	0.35	-0.8	0	4.3	banner_hor_01	6.6
0.39	0.1	0.63	0.63	wh_main_chs_chaos	0.5199999	0.15	0.37	0.42	-1.5	0	4.3	banner_ver_01	6.6
0.12	0.18	0.51	0.51	wh_main_dwf_dwarfs	0.17	0.23	0.4	0.4	-1.5	0	4.6	banner_ver_01	6.6
0.18	0.15	0.45	0.45	wh_main_emp_empire	0.22	0.22	0.35	0.3	-0.8	0	4.3	banner_hor_01	6.6
0.27	0.2	0.28	0.28	wh_main_grn_greenskins	0.27	0.17	0.38	0.38	-1	0	4.6	banner_hor_01	6.8
0.5	0.35	0.32	0.32	wh_main_grn_greenskins_vertical	0.5	0.3	0.32	0.32	-1	0	4.3	banner_ver_01	6.8
0.47	0.1	0.4	0.4	wh_main_vmp_vampire_counts	0.47	0.11	0.4	0.3	-1.5	0	4.3	banner_ver_01	6.6
