unit_spacings_tables
4
close_formation_spacing_horizontal	close_formation_spacing_variation	close_formation_spacing_vertical	dismounted_close_formation_spacing_horizontal	dismounted_close_formation_spacing_variation	dismounted_close_formation_spacing_vertical	dismounted_loose_formation_spacing_horizontal	dismounted_loose_formation_spacing_variation	dismounted_loose_formation_spacing_vertical	horde	key	loose_formation_spacing_horizontal	loose_formation_spacing_variation	loose_formation_spacing_vertical	unknown14	unknown15
38	50	76	1	1	1	1	0	55	False	ship_five	10	50	10	3	False
3.6	1.5	5.2	1.2	1	1	1	1	1	False	wh2_main_cavalry_cold_ones	2.8	0.8	5	3	False
2.4	0.9	2	1	1	1	1	1	1	False	wh2_main_def_infantry_skirmish	1.7	1.5	1.7	3	False
2	0.9	2	1	0	1	1	0	1	False	wh2_main_hef_infantry_chaotic	2.1	0.8	2.1	3	False
1.75	0	1.8	1	0	1	1	0	1	False	wh2_main_inf_2handed_ordered	2	0	2	3	False
1.9	2.8	1.9	1	0	1	1	0	1	False	wh2_main_inf_chaotic_formation	2	0	2	3	True
2.2	2.8	2.8	1	0	1	1	0	1	False	wh2_main_inf_chaotic_formation_loose	2	0	2	3	True
1.6	2.8	1.8	1	0	1	1	0	1	False	wh2_main_inf_chaotic_formation_tight	2	0	2	3	True
1.8	0.85	1.8	1	0	1	1	0	1	False	wh2_main_infantry_chaotic_rabble	2	0	2	3	False
1.8	0.4	1.9	1	0	1	1	0	1	False	wh2_main_infantry_medium_rabble	2	0	2	3	False
1.45	0.2	1.9	1	0	1	1	0	1	False	wh2_main_lzd_infantry_skink_cohort	2	0	2	3	False
2.6	0.9	2.9	1	0	1	1	0	1	False	wh2_main_lzd_saurus	2.1	0.8	2.1	3	False
8.4	2	6.2	1	1	1	1	1	1	False	wh2_main_lzd_terradon	10	4	12	3	False
1.6	5	1.7	1	0	1	1	0	1	False	wh2_main_skv_infantry_chaotic_summoned	2	5	2	3	False
3.4	1	4.3	2.4	0.4	2.4	4	1	24	False	wh2_main_skv_weaponteam	5.6	1.6	10	3	False
3	1.5	4.2	2.4	0.4	2.4	4	1	24	False	wh_dlc03_bst_centigors_rabble	5.6	1.6	10	3	False
2.7	1.2	2.7	1	0	1	1	0	1	False	wh_dlc03_bst_gor_rabble	2	0	2	3	False
2.5	0.8	3	1	0	1	1	0	1	False	wh_dlc03_bst_gorebull	2	0	2	3	False
6	2.5	5.5	1	1	1	1	1	1	False	wh_dlc03_bst_minotaur	10	4	12	3	False
5	2.1	5.7	1.2	1	1	1	1	1	False	wh_dlc03_bst_razorgor	2.8	0.8	5	3	False
1.6	0.7	1.7	1	0	1	1	0	1	False	wh_dlc03_bst_ungor_rabble	2	0	2	3	False
9.8	0.5	5.5	1.2	1	1	1	1	1	False	wh_dlc05_cavalry_hawk_riders	0.6	0.8	5	3	False
2.7	1.3	2.7	1	0	1	1	0	1	False	wh_dlc05_wef_infantry_dryad	2	0	2	3	False
1.6	0.7	1.8	1	1	1	1	1	1	False	wh_dlc05_wef_infantry_ranged	3.9	1.5	3.6	3	False
2.8	1.5	2.6	1	0	1	1	0	1	False	wh_dlc05_wef_infantry_skirmish	2	1.5	2	3	False
1.5	0.2	1.6	1	0	1	1	0	1	False	wh_dlc05_wef_infantry_spear	2	0	2	3	False
2.2	1.2	2.4	1	0	1	1	0	1	False	wh_dlc05_wef_infantry_wardancer	2	0	2	3	False
3	1.4	3	1	0	1	1	0	1	False	wh_dlc06_grn_Krimson	2	0	2	3	False
2.7	1.3	2.7	1	0	1	1	0	1	False	wh_dlc06_infantry_spider	2	0	2	3	False
2.2	1.5	2.2	1	1	1	1	1	1	False	wh_dlc07_brt_infantry_peasant_mob	1.7	1	1.5	1	False
2.2	1	2.2	1	1	1	1	1	1	False	wh_dlc07_brt_infantry_rabble	2	1	1.5	1	False
12	0.5	8	1.2	1	1	1	1	1	False	wh_dlc07_brt_royal_hippogryph_knights	9	2	13	3	False
8	2	7	1	1	1	1	1	1	False	wh_dlc07_monstrous_cavalry_flying	10	4	12	3	False
10	0	15	2	1	2	1	1	1	False	wh_main_artillery	10	0	12	3	False
6	0	9	2	1	2	1	1	1	False	wh_main_artillery_small	10	0	12	3	False
3	1.1	4.1	1.2	1	1	1	1	1	False	wh_main_cavalry_chaotic	2.8	0.8	5	3	False
3	0.5	4.1	1.2	1	1	1	1	1	False	wh_main_cavalry_ordered	0.6	0.8	5	3	False
7.5	0.5	5.5	1.2	1	1	1	1	1	False	wh_main_cavalry_pegasus_knights	0.6	0.8	5	3	False
3.6	1.5	4.4	1.2	1	1	1	1	1	False	wh_main_cavalry_very_chaotic	2.8	0.8	5	3	False
10	1	14	1	0	1	2	0	2	False	wh_main_chariot	10	0	14	3	False
1.5	0.15	1.6	1	0	1	1	0	1	False	wh_main_dwf_infantry_elite	2	0	2	3	False
1.6	0.15	1.7	1	0	1	1	0	1	False	wh_main_dwf_infantry_elite_hammerer	2	0	2	3	False
1.9	0.3	1.8	1	0	1	1	0	1	False	wh_main_dwf_infantry_loose	2	0	2	3	False
3	1.1	2.3	1	0	1	1	0	1	False	wh_main_dwf_infantry_slayers	2	0	2	3	False
1.55	0.25	1.6	1	0	1	1	0	1	False	wh_main_dwf_infantry_standard	2	0	2	3	False
1.45	0.25	1.5	1	0	1	1	0	1	False	wh_main_dwf_infantry_standard_shield	2	0	2	3	False
4	3	4	10	4	10	1	1	1	False	wh_main_fellbats	1	1	1	3	False
3.2	1.5	4	1.2	1	1	1	1	1	False	wh_main_grn_cavalry_savage_orc_rabble	2.8	0.8	5	3	False
1.5	0.7	1.6	1	0	1	1	0	1	False	wh_main_grn_goblin_infantry_standard	2	0	2	3	False
2.6	0.7	2.4	1	0	1	1	0	1	False	wh_main_grn_grimgor	2	0	2	3	False
2.6	1.2	2.6	1	0	1	1	0	1	False	wh_main_grn_orc_infantry_big_uns	2	0	2	3	False
2.6	0.7	2.6	1	0	1	1	0	1	False	wh_main_grn_orc_infantry_elite	2	0	2	3	False
2.7	1.3	2.7	1	0	1	1	0	1	False	wh_main_grn_orc_infantry_savage_rabble	2	0	2	3	False
2.3	1	2.3	1	0	1	1	0	1	False	wh_main_grn_orc_infantry_standard	2	0	2	3	False
6	0	6	6	0	6	6	0	6	False	wh_main_hero	6	0	6	0	False
1.48	0	1.6	1	0	1	1	0	1	False	wh_main_infantry	2	0	2	3	False
1.65	0	1.75	1	0	1	1	0	1	False	wh_main_infantry_2handed	2	0	2	3	False
2.2	0.8	2.2	1	0	1	1	0	1	False	wh_main_infantry_chaos_chosen	2.1	0.8	2.1	3	False
2	0.8	2	1	0	1	1	0	1	False	wh_main_infantry_chaos_warriors	2.1	0.8	2.1	3	False
2.5	0.9	2.5	1	0	1	1	0	1	False	wh_main_infantry_forsaken	2.1	0.8	2.1	3	False
1.7	0.1	1.75	1	0	1	1	0	1	False	wh_main_infantry_greatswords	2	0	2	3	False
2.35	0.7	2.35	1	0	1	1	0	1	False	wh_main_infantry_large	2	0	2	3	False
2.7	1.2	2.7	1	0	1	1	0	1	False	wh_main_infantry_large_rabble	2	0	2	3	False
3.3	1	3.9	2.4	0.4	2.4	4	1	24	False	wh_main_infantry_large_very_chaotic	5.6	1.6	10	3	False
1.6	0.7	1.7	1	0	1	1	0	1	False	wh_main_infantry_rabble	2	0	2	3	False
1.4	0.5	1.7	1	1	1	1	1	1	False	wh_main_infantry_ranged	3.6	1.5	3.6	3	False
2.5	1.1	2.5	1	1	1	1	1	1	False	wh_main_infantry_zombie	2.5	1.1	2.5	3	False
18	0	18	1	1	1	1	1	1	False	wh_main_monster	18	0	18	3	False
16	0	12	1	1	1	1	1	1	False	wh_main_monstrous_beasts	16	0	12	3	False
3	1	4.4	2.4	0.4	2.4	4	1	24	False	wh_main_monstrous_cavalry	5.6	1.6	10	3	False
6	1	6	1	1	1	1	1	1	False	wh_main_monstrous_infantry	10	4	12	3	False
6.5	3.5	6.5	1	1	1	1	1	1	False	wh_main_monstrous_infantry_chaotic	10	4	12	3	False
8	2	7	1	1	1	1	1	1	False	wh_main_monstrous_infantry_flying	10	4	12	3	False
3.8	1.1	4	1	1	1	1	1	1	False	wh_main_monstrous_spiders	10	0.5	12	3	False
6	1.8	5	1	1	1	1	1	1	False	wh_main_monstrous_trolls	10	4	12	3	False
1	1	1	1	1	1	1	1	1	False	wh_main_swarms	1	1	1	3	False
1.9	0.9	1.9	1	0	1	1	0	1	False	wh_main_vmp_crypt_ghouls	2	0	2	3	False
2	0.8	3.5	1.2	0.2	1.2	2	0.5	2	False	wh_main_war_beasts	2.8	0.8	5	3	False
7	0.5	7	1	1	1	1	1	1	False	wh_main_war_machines	7	0	6	3	False
