agent_actions_tables
8
ability	agent	attribute	cannot_fail	critical_failure	critical_success	failure	opportune_failure	success	localised_action_name	localized_action_description	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18
assist_army	champion	zeal	wh2_main_agent_action_assist_army_cannot_fail_replenish_troops	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_replenish_troops}}	[[col:yellow]]Increases [[img:icon_replenishment]][[/img]]replenishment of the parent army by %n%.[[/col]]	wh2_main_agent_action_champion_assist_army_replenish_troops	zeal	0	0	1	100	vo_campaign_action_own_army	ui/campaign ui/effect_bundles/replenishment.png
assist_army	champion	zeal	wh2_main_agent_action_assist_army_cannot_fail_training	wh_main_agent_action_dummy_critical_failure	wh_main_agent_action_dummy_critical_success	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_success	{{tr:agent_action_name_training}}	[[col:yellow]]Grants %n experience per turn to units serving in the parent army.[[/col]]	wh2_main_agent_action_champion_assist_army_training	zeal	0	0	1	100	vo_campaign_action_own_army	ui/campaign ui/effect_bundles/experience.png
hinder_agent	champion	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_all_hinder_character_critical_failure	wh_main_agent_action_all_hinder_agent_critical_success	wh_main_agent_action_all_hinder_character_failure	wh_main_agent_action_all_hinder_character_failure	wh_main_agent_action_all_hinder_agent_success	{{tr:agent_action_name_assassinate}}	[[col:yellow]]Kills the target [[img:icon_hero]][[/img]]Hero.[[/col]]	wh2_main_agent_action_champion_hinder_agent_assassinate	zeal	1077936128	0	0.5	35	vo_campaign_action_enemy_character	ui/campaign ui/effect_bundles/subterfuge.png
hinder_agent	champion	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_all_hinder_character_critical_failure	wh_main_agent_action_all_hinder_agent_success	wh_main_agent_action_all_hinder_character_failure	wh_main_agent_action_all_hinder_character_failure	wh_main_agent_action_all_hinder_agent_success	{{tr:agent_action_name_wound}}	[[col:yellow]]Wounds the target [[img:icon_hero]][[/img]]Hero.[[/col]]	wh2_main_agent_action_champion_hinder_agent_wound	zeal	0	0	1	30	vo_campaign_action_enemy_character	ui/campaign ui/effect_bundles/wound_time.png
hinder_army	champion	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_all_hinder_army_critical_failure	wh2_main_agent_action_hinder_army_success_assault_units	wh_main_agent_action_all_hinder_army_failure	wh_main_agent_action_all_hinder_army_failure	wh2_main_agent_action_hinder_army_success_assault_units	{{tr:agent_action_name_assault_units}}	[[col:yellow]]Inflicts damage upon all units in the target army.[[/col]]	wh2_main_agent_action_champion_hinder_army_assault_units	zeal	0	0	0.75	50	vo_campaign_action_enemy_army	ui/campaign ui/effect_bundles/disaster.png
hinder_army	champion	zeal	wh2_main_agent_action_hinder_army_success_block_army	wh_main_agent_action_all_hinder_army_critical_failure	wh2_main_agent_action_hinder_army_success_block_army	wh_main_agent_action_all_hinder_army_failure	wh_main_agent_action_all_hinder_army_failure	wh2_main_agent_action_hinder_army_success_block_army	{{tr:agent_action_name_block_army}}	[[col:yellow]]Modifies the campaign movement range of the target army by %n%.[[/col]]	wh2_main_agent_action_champion_hinder_army_block_army	zeal	0	0	0.5	50	vo_campaign_action_enemy_army	ui/campaign ui/effect_bundles/campaign_movement.png
hinder_settlement	champion	zeal	wh_main_agent_action_dummy_cannot_fail	wh_main_agent_action_all_hinder_settlement_critical_failure	wh2_main_agent_action_hinder_settlement_success_assault_garrison	wh_main_agent_action_all_hinder_settlement_failure	wh_main_agent_action_all_hinder_settlement_failure	wh2_main_agent_action_hinder_settlement_success_assault_garrison	{{tr:agent_action_name_assault_garrison}}	[[col:yellow]]Inflicts damage upon the garrison of the target settlement.[[/col]]	wh2_main_agent_action_champion_hinder_settlement_assault_garrison	zeal	0	0	0.75	50	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/siege_defence.png
hinder_settlement	champion	zeal	wh2_main_agent_action_hinder_settlement_success_damage_walls	wh_main_agent_action_all_hinder_settlement_critical_failure	wh2_main_agent_action_hinder_settlement_success_damage_walls	wh_main_agent_action_all_hinder_settlement_failure	wh_main_agent_action_all_hinder_settlement_failure	wh2_main_agent_action_hinder_settlement_success_damage_walls	{{tr:agent_action_name_damage_walls}}	[[col:yellow]]Damages the walls of the target settlement.[[/col]]	wh2_main_agent_action_champion_hinder_settlement_damage_walls	zeal	0	0	0.5	60	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/siege_attack.png
hinder_settlement	champion	zeal	wh2_main_agent_action_hinder_settlement_success_gain_influence	wh_main_agent_action_all_hinder_settlement_critical_failure	wh2_main_agent_action_hinder_settlement_success_gain_influence	wh_main_agent_action_all_hinder_settlement_failure	wh_main_agent_action_all_hinder_settlement_failure	wh2_main_agent_action_hinder_settlement_success_gain_influence	{{tr:agent_action_name_gain_influence}}	[[col:yellow]]Gains %n [[img:icon_influence]][[/img]]influence.[[/col]]	wh2_main_agent_action_champion_hinder_settlement_gain_influence	zeal	0	0	0.5	60	vo_campaign_action_enemy_settlement	ui/campaign ui/effect_bundles/intrigue.png
hinder_settlement	champion	zeal	wh2_main_agent_action_hinder_settlement_cannot_fail_scout_settlement	wh_main_agent_action_dummy_critical_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_scout_settlement	wh_main_agent_action_dummy_failure	wh_main_agent_action_dummy_failure	wh2_main_agent_action_hinder_settlement_cannot_fail_scout_settlement	{{tr:agent_action_name_scout_settlement}}	[[col:yellow]]Scouts the ruined settlement to reveal any hidden threats.[[/col]]	wh2_main_agent_action_champion_hinder_settlement_scout_settlement	zeal	0	0	0	100	vo_campaign_action_passive	 
