feature_set_to_faction_features_tables
0
faction_feature	feature_set
CAN_BE_REGIONLESS	COMPANION_FACTION
CAN_SUPPORT_ARMIES	COMPANION_FACTION
CAN_SUPPORT_HORDES	COMPANION_FACTION
IS_COMPANION_ARMY	COMPANION_FACTION
CAN_BE_REGIONLESS	HORDE
CAN_RECRUIT_HORDES	HORDE
CAN_BE_REGIONLESS	MIXED_NAVAL_HORDE
CAN_OCCUPY_SETTLEMENTS	MIXED_NAVAL_HORDE
CAN_OWN_REGIONS	MIXED_NAVAL_HORDE
CAN_RECRUIT_ARMIES	MIXED_NAVAL_HORDE
CAN_RECRUIT_SEA_LOCKED_HORDES	MIXED_NAVAL_HORDE
CAN_PERFORM_RITUALS	PRIMARY_RITUAL_ENABLED
CAN_PERFORM_RITUAL_CHAINS	PRIMARY_RITUAL_ENABLED
CAN_PERFORM_RITUALS	RITUAL_ENABLED
CAN_PERFORM_RITUALS	RITUAL_ENABLED_LOCKED
CAN_BE_REGIONLESS	STANDARD_FACTION
CAN_OCCUPY_SETTLEMENTS	STANDARD_FACTION
CAN_OWN_REGIONS	STANDARD_FACTION
CAN_RECRUIT_ARMIES	STANDARD_FACTION
