cdir_military_generator_template_ratios_tables
0
ratio	template_key	unit_group_key
5	WH_Beastmen_land	Default_land_artillery
10	WH_Beastmen_land	Default_land_cavalry_melee
1	WH_Beastmen_land	Default_land_command
30	WH_Beastmen_land	Default_land_infantry_melee
1	WH_Beastmen_land	Default_land_magic
10	WH_Beastmen_land	Default_land_monster
10	WH_Beastmen_land	Default_land_support
5	WH_Beastmen_land_2	Default_land_artillery
10	WH_Beastmen_land_2	Default_land_cavalry_melee
1	WH_Beastmen_land_2	Default_land_command
30	WH_Beastmen_land_2	Default_land_infantry_melee
1	WH_Beastmen_land_2	Default_land_magic
30	WH_Beastmen_land_2	Default_land_monster
30	WH_Beastmen_land_2	Default_land_support
5	WH_Bretonnia_land	Default_land_artillery
1	WH_Bretonnia_land	Default_land_aura
60	WH_Bretonnia_land	Default_land_cavalry_melee
1	WH_Bretonnia_land	Default_land_command
30	WH_Bretonnia_land	Default_land_infantry_melee
1	WH_Bretonnia_land	Default_land_infantry_melee_low_quality
30	WH_Bretonnia_land	Default_land_infantry_missile
1	WH_Bretonnia_land	Default_land_magic
10	WH_Bretonnia_land	Default_land_support
5	WH_Bretonnia_land_cav	Default_land_artillery
1	WH_Bretonnia_land_cav	Default_land_aura
80	WH_Bretonnia_land_cav	Default_land_cavalry_melee
1	WH_Bretonnia_land_cav	Default_land_command
30	WH_Bretonnia_land_cav	Default_land_infantry_melee
30	WH_Bretonnia_land_cav	Default_land_infantry_missile
1	WH_Bretonnia_land_cav	Default_land_magic
10	WH_Bretonnia_land_cav	Default_land_support
5	WH_Bretonnia_land_flying	Default_land_artillery
1	WH_Bretonnia_land_flying	Default_land_aura
40	WH_Bretonnia_land_flying	Default_land_cavalry_melee
1	WH_Bretonnia_land_flying	Default_land_command
20	WH_Bretonnia_land_flying	Default_land_infantry_melee
20	WH_Bretonnia_land_flying	Default_land_infantry_missile
5	WH_Bretonnia_land_flying	Default_land_magic
60	WH_Bretonnia_land_flying	Default_land_support
5	WH_Chaos_land	Default_land_artillery
10	WH_Chaos_land	Default_land_cavalry_melee
5	WH_Chaos_land	Default_land_cavalry_missile
1	WH_Chaos_land	Default_land_command
40	WH_Chaos_land	Default_land_infantry_melee
1	WH_Chaos_land	Default_land_magic
20	WH_Chaos_land	Default_land_monster
5	WH_Chaos_land	Default_land_support
1	WH_Chaos_land_2	Default_land_artillery
20	WH_Chaos_land_2	Default_land_cavalry_melee
1	WH_Chaos_land_2	Default_land_cavalry_missile
1	WH_Chaos_land_2	Default_land_command
60	WH_Chaos_land_2	Default_land_infantry_melee
1	WH_Chaos_land_2	Default_land_magic
40	WH_Chaos_land_2	Default_land_monster
10	WH_Chaos_land_2	Default_land_support
5	WH_Dark_Elves_land	Default_land_artillery
15	WH_Dark_Elves_land	Default_land_cavalry_melee
5	WH_Dark_Elves_land	Default_land_command
30	WH_Dark_Elves_land	Default_land_infantry_melee
10	WH_Dark_Elves_land	Default_land_infantry_missile
5	WH_Dark_Elves_land	Default_land_magic
20	WH_Dark_Elves_land	Default_land_monster
10	WH_Dark_Elves_land	Default_land_support
10	WH_Dark_Elves_land_2	Default_land_artillery
10	WH_Dark_Elves_land_2	Default_land_cavalry_melee
5	WH_Dark_Elves_land_2	Default_land_command
35	WH_Dark_Elves_land_2	Default_land_infantry_melee
15	WH_Dark_Elves_land_2	Default_land_infantry_missile
5	WH_Dark_Elves_land_2	Default_land_magic
20	WH_Dark_Elves_land_2	Default_land_monster
10	WH_Dark_Elves_land_rare	Default_land_artillery
15	WH_Dark_Elves_land_rare	Default_land_cavalry_melee
5	WH_Dark_Elves_land_rare	Default_land_command
20	WH_Dark_Elves_land_rare	Default_land_infantry_melee
10	WH_Dark_Elves_land_rare	Default_land_infantry_missile
5	WH_Dark_Elves_land_rare	Default_land_magic
10	WH_Dark_Elves_land_rare	Default_land_monster
25	WH_Dark_Elves_land_rare	Default_land_support
10	WH_Dwarfs_land	Default_land_artillery
1	WH_Dwarfs_land	Default_land_command
50	WH_Dwarfs_land	Default_land_infantry_melee
30	WH_Dwarfs_land	Default_land_infantry_missile
10	WH_Dwarfs_land	Default_land_support
20	WH_Dwarfs_land_2	Default_land_artillery
1	WH_Dwarfs_land_2	Default_land_command
50	WH_Dwarfs_land_2	Default_land_infantry_melee
20	WH_Dwarfs_land_2	Default_land_infantry_missile
20	WH_Dwarfs_land_2	Default_land_support
10	WH_Empire_land	Default_land_artillery
10	WH_Empire_land	Default_land_cavalry_melee
1	WH_Empire_land	Default_land_command
40	WH_Empire_land	Default_land_infantry_melee
10	WH_Empire_land	Default_land_infantry_missile
1	WH_Empire_land	Default_land_magic
10	WH_Empire_land	Default_land_support
10	WH_Empire_land_2	Default_land_artillery
30	WH_Empire_land_2	Default_land_cavalry_melee
1	WH_Empire_land_2	Default_land_command
50	WH_Empire_land_2	Default_land_infantry_melee
5	WH_Empire_land_2	Default_land_infantry_missile
1	WH_Empire_land_2	Default_land_magic
10	WH_Empire_land_2	Default_land_support
1	WH_Greenskin_Rebels_land	Default_land_artillery
10	WH_Greenskin_Rebels_land	Default_land_cavalry_melee
5	WH_Greenskin_Rebels_land	Default_land_cavalry_missile
1	WH_Greenskin_Rebels_land	Default_land_command
10	WH_Greenskin_Rebels_land	Default_land_giant
25	WH_Greenskin_Rebels_land	Default_land_infantry_melee
15	WH_Greenskin_Rebels_land	Default_land_infantry_missile
10	WH_Greenskin_Rebels_land	Default_land_infantry_monterous
10	WH_Greenskin_Rebels_land	Default_land_infantry_spearmen
5	WH_Greenskin_Rebels_land	Default_land_magic
5	WH_Greenskin_Rebels_land	Default_land_monster
5	WH_Greenskin_Rebels_land	Default_land_vehicle
5	WH_Greenskins_Waaagh_land	Default_land_artillery
20	WH_Greenskins_Waaagh_land	Default_land_cavalry_melee
5	WH_Greenskins_Waaagh_land	Default_land_cavalry_missile
1	WH_Greenskins_Waaagh_land	Default_land_command
40	WH_Greenskins_Waaagh_land	Default_land_infantry_melee
20	WH_Greenskins_Waaagh_land	Default_land_infantry_missile
1	WH_Greenskins_Waaagh_land	Default_land_magic
20	WH_Greenskins_Waaagh_land	Default_land_monster
5	WH_Greenskins_land	Default_land_artillery
20	WH_Greenskins_land	Default_land_cavalry_melee
5	WH_Greenskins_land	Default_land_cavalry_missile
1	WH_Greenskins_land	Default_land_command
40	WH_Greenskins_land	Default_land_infantry_melee
20	WH_Greenskins_land	Default_land_infantry_missile
1	WH_Greenskins_land	Default_land_magic
20	WH_Greenskins_land	Default_land_monster
10	WH_Greenskins_land_2	Default_land_artillery
30	WH_Greenskins_land_2	Default_land_cavalry_melee
5	WH_Greenskins_land_2	Default_land_cavalry_missile
1	WH_Greenskins_land_2	Default_land_command
