region_unit_resources_tables
0
key	string
Auxilia_Arabian	Arabian Auxilia
Auxilia_Asia	Local Auxilia Asia
Auxilia_Assyrian	Assyrian Auxilia
Auxilia_Bactrian	Bactrian Auxilia
Auxilia_Bosporus	Local Auxilia Bosporus
Auxilia_Briton	Briton Auxilia
Auxilia_Caucasia	Local Auxilia Caucasia
Auxilia_Celtic	Celtic Auxilia
Auxilia_Egyptian	Egyptian Auxilia
Auxilia_Galatia_et_Cappadocia	Local Auxilia Galatia et Cappadocia
Auxilia_Gallic	Gallic Auxilia
Auxilia_Germanic	Germanic Auxilia
Auxilia_Hellas	Local Auxilia Hellas
Auxilia_Hellenic	Hellenic Auxilia
Auxilia_Iberian	Iberian Auxilia
Auxilia_Illyrian	Illyirian Auxilia
Auxilia_Italian	Italian Auxilia
Auxilia_Nabatea_ArabiaMagna_ArabiaFelix	Local Auxilia Nabatea, Arabia Magna, Arabia Felix
Auxilia_North_African	North African Auxilia
Auxilia_Parthian	Parthian Auxilia
Auxilia_Persian	Persian Auxilia
Auxilia_Roman	Roman Auxilia
Auxilia_Sabaean	Sabaean Auxilia
Auxilia_Saka	Saka Auxilia
Auxilia_Sarmatian	Sarmatian Auxilia
Auxilia_Scythian	Scythian Auxilia
Auxilia_Syria	Local Auxilia Syria
Auxilia_Thracia	Local Auxilia Thracia
Auxilia_Thracian	Thracian Auxilia
Auxilia_local_Cartaginensis	Local Auxilia Cartaginensis
Auxilia_local_Gedrosia_Arachosia_Bactria_Aria	Local Auxilia Gedrosia, Arachosia, Bactria, Aria
Auxilia_local_Macedonia	Local Auxilia Macedonia
Auxilia_local_Phazania_Libue_Aithiops	Local Auxilia Phazani, a Libue, Aithiops
Auxilia_local_Raetia_et_Noricum	Local Auxilia Raetia et Noricum
Auxilia_local_Tarraconensis	Local Auxilia Tarraconensis
CiG_Regional_Briton	Briton
CiG_Regional_Celtic	Celtic
CiG_Regional_German	German
CiG_Regional_Greek	Greek
CiG_Regional_Roman	Roman
