cdir_events_incident_payloads_tables
1
id	unknown1	incident_key	payload_key	value
91301	0	zar_sk_incident_tunnel_scout	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_follower_skv_tunnel_scout_zar]
91302	0	zar_sk_incident_prospector	ADD_ANCILLARY	ANCILLARY_KEY[wh2_main_anc_follower_skv_prospector_zar]
91304	0	zar_sk_incident_warpstone_explosion	DAMAGE_BUILDING	MIN[1];MAX[2]
91303	0	zar_sk_incident_warpstone_explosion	TARGET	EVENT
91305	0	zar_sk_incident_skaven_raid_1	zar_sk_payload_skaven_food_theft	DURATION[4];GLOBAL
91306	0	zar_sk_incident_skaven_raid_1	TARGET	EVENT
91307	0	zar_sk_incident_skaven_raid_2	zar_sk_payload_skaven_raid_2	DURATION[4];GLOBAL
91308	0	zar_sk_incident_skaven_raid_2	TARGET	EVENT
91311	0	zar_sk_incident_skaven_raid_3	TARGET	EVENT
91312	0	zar_sk_incident_skaven_raid_3	DAMAGE_BUILDING	MIN[2];MAX[4]
91313	0	zar_sk_incident_skaven_raid_3	zar_sk_payload_skaven_raid_3	DURATION[6]
91314	0	zar_sk_incident_vermintide_heroes	zar_sk_payload_vermintide_heroes	DURATION[6]
91315	0	zar_sk_incident_vermintide_heroes	TARGET	EVENT
91316	0	zar_sk_incident_bad_food	zar_sk_payload_bad_food	DURATION[1]
913051	0	zar_sk_incident_skaven_raid_1p	zar_sk_payload_skaven_food_theft	DURATION[4];GLOBAL
913061	0	zar_sk_incident_skaven_raid_1p	TARGET	EVENT
912062	0	zar_sk_incident_skaven_raid_2p	zar_sk_payload_skaven_raid_2	DURATION[4];GLOBAL
913081	0	zar_sk_incident_skaven_raid_2p	TARGET	EVENT
913111	0	zar_sk_incident_skaven_raid_3p	TARGET	EVENT
913121	0	zar_sk_incident_skaven_raid_3p	DAMAGE_BUILDING	MIN[2];MAX[4]
913131	0	zar_sk_incident_skaven_raid_3p	zar_sk_payload_skaven_raid_3	DURATION[6]
913141	0	zar_sk_incident_skavenblight_has_fallen	zar_sk_payload_skavenblight_has_fallen	DURATION[7]
913151	0	zar_sk_incident_skaven_lair_support	zar_sk_payload_skaven_lair_support	DURATION[2]
913152	0	zar_sk_incident_skaven_lair_support	TARGET	EVENT
