projectiles_explosions_tables
18
key	detonator_type	detonation_type	detonation_radius	detonation_duration	detonation_speed	detonation_damage	projectile_name	explosion_particle_effect	distance_from_target	explosion_particle_effect_on_ground	explosion_audio	contact_phase_effect	ignition_amount	is_magical	detonation_damage_ap	shrapnel	fuse_distance_from_target	fuse_fixed_time	affects_allies
boiling_oil_splash	percussive	boiling_oil	2	3	2	2		wh_main_generic_spherical_explosion_large	0				0	False	0		100	-1	True
default_fire_spread	percussive	none	5	4	2	20		wh_main_generic_spherical_explosion_large	0				0	False	0		100	-1	True
fire_ignition	percussive	fire_ignition	5	10	4	5			0				0	False	0		100	-1	True
fire_ignition_l	percussive	fire_ignition	7	0	4	5			0	wh_main_generic_explosion_medium			0	False	0		100	-1	True
fire_spread	percussive	none	7	4	2	4			0	wh_main_generic_explosion_medium			0	False	0		100	-1	True
wh2_main_army_abilities_bloodwrack_cauldron	percussive	shockwave	18	1	18	0			0		wh2_main_ability_bloodwrack_cauldron		0	True	72	wh_main_unit_explosion_heavy	500	-1	True
wh2_main_army_abilities_bolt_of_spite	percussive	shockwave	6	1	11	180		wh2_main_abilities_bolt_of_spite_explosion	0		wh_main_spell_fire_fireball		0	True	0	wh_main_unit_explosion_light	450	-1	True
wh2_main_army_abilities_brazen_cauldron	percussive	shockwave	18	1	18	0			0		wh2_main_ability_brazen_cauldron		0	True	48	wh_main_unit_explosion_heavy	500	-1	True
wh2_main_army_abilities_khaines_flail	percussive	shockwave	6	1	11	0			0		wh_urannons_thunderbolt		0	True	68	wh_main_unit_explosion_light	450	-1	True
wh2_main_army_abilities_khaines_lash	percussive	shockwave	6	1	11	0			0		wh_urannons_thunderbolt		0	True	68	wh_main_unit_explosion_light	450	-1	True
wh2_main_army_abilities_khaines_scourge	percussive	shockwave	6	1	11	0			0		wh_urannons_thunderbolt		0	True	68	wh_main_unit_explosion_light	450	-1	True
wh2_main_army_abilities_sky_cauldron	percussive	shockwave	18	1	18	0			0		wh2_main_ability_sky_cauldron		0	True	24	wh_main_unit_explosion_heavy	500	-1	True
wh2_main_army_abilities_soul_rain	percussive	shockwave	3	1	12	0		wh2_main_abilities_soul_rain_explosion	0		wh2_main_ability_soul_rain		0	True	24	wh_main_unit_explosion_light	400	-1	True
wh2_main_army_abilities_soul_storm	percussive	shockwave	3	1	12	0		wh2_main_abilities_soul_storm_explosion	0		wh2_main_ability_soul_storm		0	True	24	wh_main_unit_explosion_light	400	-1	True
wh2_main_army_abilities_soul_torrent	percussive	shockwave	3	1	12	0		wh2_main_abilities_soul_torrent_explosion	0		wh2_main_ability_soul_torrent		0	True	24	wh_main_unit_explosion_light	400	-1	True
wh2_main_army_abilities_vauls_hammer	percussive	shockwave	1	0	10	0		wh2_main_abilities_vauls_hammer	0		wh2_main_ability_vauls_hammer		1	False	11000	wh2_vauls_hammer	400	-1	True
wh2_main_army_abilities_vortic_blast	percussive	shockwave	12	1	12	0	skaven_bomb	wh2_main_abilities_vortic_blast	0		wh2_main_ability_vortic_blast		1	False	132	wh_main_unit_explosion_heavy	500	-1	True
wh2_main_army_abilities_vortic_blast_shrapnel	percussive	shockwave	2	1	12	0		wh2_main_abilities_vortic_blast_shrapnel_explosion	0		wh_bomb		1	False	132	wh_main_unit_explosion_medium	400	-1	True
