campaign_mounts_tables
8
model	animation_set	variant	scale	actor	ignore_rider_variant_scale	vfx_filter	banner_relative_to_mount
cam_dr1_dragon	wh2_main_cam_mnt_def_black_dragon	wh2_main_def_mon_black_dragon_mount	0.55	wh2_main_vo_culture_Black_Dragon	False	0	False
cam_lord_wm_blood_cauldron01	wh2_main_cam_mnt_def_cauldron_of_blood	wh2_main_def_cauldron_of_blood_campaign	0.55	wh2_main_vo_culture_Dark_Elves	False	0	False
cam_lord_rp3_cold_one	wh2_main_cam_mnt_def_cold_one	wh2_main_def_cold_one_campaign	1	wh2_main_vo_culture_Dark_Elves	True	0	False
cam_lord_wm_cold_one_chariot01	wh2_main_cam_mnt_def_cold_one_chariot	wh2_main_def_cold_one_chariot_campaign	0.7	wh2_main_vo_culture_Dark_Elves	False	0	False
cam_hr1_pegasus	wh2_main_cam_mnt_def_dark_pegasus	wh2_main_def_dark_pegasus_campaign	1	wh_main_vo_culture_Pegasus	False	0	False
cam_hr1_warhorse	wh2_main_cam_mnt_def_dark_steed	wh2_main_def_dark_steed_campaign	1	wh2_main_vo_culture_Dark_Elves	True	0	False
cam_dr1_dragon	wh2_main_cam_mnt_def_seraphon	wh2_main_def_black_dragon_seraphon	0.55	wh_main_vo_culture_Dragon_Large	False	0	False
cam_hr1_pegasus	wh2_main_cam_mnt_def_sulephet	wh2_main_def_dark_pegasus_sulephet_campaign	1	wh_main_vo_culture_Pegasus	False	0	False
cam_hr1_warhorse	wh2_main_cam_mnt_hef_barded_ithilmar_steed	wh2_main_hef_barded_steed_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_hr1_warhorse	wh2_main_cam_mnt_hef_elven_steed	wh2_main_hef_steed_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_bi1_eagle	wh2_main_cam_mnt_hef_great_eagle	wh2_main_hef_great_eagle_mount	0.6	wh_main_vo_culture_Eagle	False	0	False
cam_hero_wm_tiranoc_chariot_01	wh2_main_cam_mnt_hef_ithilmar_chariot	wh2_main_hef_ithilmar_chariot_campaign	0.85	wh2_main_vo_culture_High_Elves	False	0	False
cam_hr1_warhorse	wh2_main_cam_mnt_hef_malhandhir	wh2_main_hef_malhandhir_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_dr1_dragon	wh2_main_cam_mnt_hef_moon_dragon	wh2_main_hef_moon_dragon_mount	0.55	wh2_main_vo_culture_Moon_Dragon	False	0	False
cam_dr1_dragon	wh2_main_cam_mnt_hef_star_dragon	wh2_main_hef_star_dragon_mount	0.55	wh2_main_vo_culture_Star_Dragon	False	0	False
cam_dr1_dragon	wh2_main_cam_mnt_hef_sun_dragon	wh2_main_hef_sun_dragon_mount	0.55	wh2_main_vo_culture_Sun_Dragon	False	0	False
cam_lord_rp3b_carnosaur	wh2_main_cam_mnt_lzd_carnosaur	wh2_main_lzd_mnt_carnosaur	0.8	wh2_main_vo_culture_Lizardmen	False	0	False
cam_lord_rp3_cold_one	wh2_main_cam_mnt_lzd_cold_one	wh2_main_lzd_cold_one_campaign	1	wh2_main_vo_culture_Lizardmen	True	0	False
cam_lord_rp3b_carnosaur	wh2_main_cam_mnt_lzd_grymloq	wh2_main_lzd_mnt_carnosaur_grymloq	0.8	wh2_main_vo_culture_Lizardmen	False	0	False
cam_lord_rp3_cold_one	wh2_main_cam_mnt_lzd_horned_one	wh2_main_lzd_horned_one_campaign	1	wh2_main_vo_culture_Lizardmen	True	0	False
cam_wm_platform01	wh2_main_cam_mnt_lzd_mazdamundi_platform	wh2_main_lzd_mazdamundi_platform	0.75	wh2_main_vo_culture_Lizardmen	False	0	False
cam_wm_platform01	wh2_main_cam_mnt_lzd_platform	wh2_main_lzd_platform	0.75	wh2_main_vo_culture_Lizardmen	False	0	False
cam_lord_hq1_stegadon	wh2_main_cam_mnt_lzd_stegadon	wh2_main_lzd_stegadon_1	0.7	wh2_main_vo_culture_Stegadon	False	0	False
cam_lord_hq1_stegadon	wh2_main_cam_mnt_lzd_stegadon_ancient	wh2_main_lzd_stegadon_ancient	0.7	wh2_main_vo_culture_Stegadon	False	0	False
cam_lord_hq1_stegadon	wh2_main_cam_mnt_lzd_stegadon_zlaaq	wh2_main_lzd_stegadon_zlaaq	0.7	wh2_main_vo_culture_Stegadon	False	0	False
cam_hero_bi3_terradon	wh2_main_cam_mnt_lzd_terradon	wh2_main_lzd_terradon	0.6	wh2_main_vo_culture_Terradon	False	0	False
cam_lord_hu18_rat_ogre_claws	wh2_main_cam_mnt_skv_bonebreaker	wh2_main_skv_rat_ogre_bonebreaker	1	wh2_main_vo_culture_Skaven	False	0	True
cam_lord_wm_screamingbell01_plague_furnace	wh2_main_cam_mnt_skv_plague_furnace	wh2_main_skv_plague_furnace_campaign	0.4	wh2_main_vo_culture_Skaven	False	0	False
cam_lord_wm_screaming_bell01	wh2_main_cam_mnt_skv_screaming_bell	wh2_main_skv_screaming_bell_campaign	0.4	wh2_main_vo_culture_Skaven	False	0	True
cam_wm_razorgor_chariot	wh_dlc03_cam_mnt_bst_razorgor_chariot	wh_campaign_bst_beastlord_razorgor_chariot	0.7	wh_dlc03_vo_culture_Boar	False	0	False
cam_wm_war_altar	wh_dlc04_cam_mnt_emp_war_altar	wh_campaign_emp_war_altar	0.65	wh_main_vo_culture_Empire	False	0	False
cam_wm_corpse_cart	wh_dlc04_cam_mnt_vmp_corpse_cart	wh_dlc04_campaign_vmp_corpse_cart	0.8	wh_main_vo_culture_Vampire	False	0	False
cam_wm_corpsecart01_balefire	wh_dlc04_cam_mnt_vmp_corpse_cart_balefire	wh_dlc04_campaign_vmp_corpse_cart_balefire	0.8	wh_main_vo_culture_Vampire	False	0	False
cam_wm_corpsecart01_helman	wh_dlc04_cam_mnt_vmp_corpse_cart_helman	wh_dlc04_campaign_vmp_corpse_cart_helman	0.8	wh_main_vo_culture_Vampire	False	0	False
cam_wm_corpsecart01_lodestone	wh_dlc04_cam_mnt_vmp_corpse_cart_lodestone	wh_dlc04_campaign_vmp_corpse_cart_lodestone	0.8	wh_main_vo_culture_Vampire	False	0	False
cam_bi2_wyvern	wh_dlc04_cam_mnt_vmp_terrorgheist	wh_vmp_terrorgheist	0.7	wh_main_vo_culture_Terrorgheist	False	0	False
cam_hr1_warhorse	wh_dlc05_cam_mnt_wef_elven_steed	wh_dlc05_wef_elven_steed	1	wh_main_vo_culture_Horse	True	0	False
cam_dr1_dragon	wh_dlc05_cam_mnt_wef_forest_dragon	wh_dlc05_wef_forest_dragon_saddle	0.55	wh_dlc05_vo_culture_Forest_Dragon	False	0	False
cam_bi1_eagle	wh_dlc05_cam_mnt_wef_great_eagle	wh_dlc05_wef_great_eagle_character	0.6	wh_main_vo_culture_Eagle	False	0	False
cam_hr1_warhorse	wh_dlc05_cam_mnt_wef_unicorn	wh_dlc05_wef_unicorn	1	wh_main_vo_culture_Horse	False	0	False
cam_th1_throne_of_power	wh_dlc06_cam_mnt_dwf_anvil_of_doom	wh_dlc06_dwf_runelord_anvil_campaign	1	wh_main_vo_culture_Dwarf	False	0	False
cam_rp2_great_cave_squig	wh_dlc06_cam_mnt_grn_great_cave_squig	wh_dlc06_grn_great_cave_squig_campaign	1	wh_dlc06_vo_culture_Squig	False	0	False
cam_bo1_warboar	wh_dlc06_cam_mnt_grn_spleenrippa	wh_dlc06_grn_warboar_spleenrippa	1	wh_dlc03_vo_culture_Boar	True	0	False
cam_hr1_warhorse	wh_dlc07_cam_mnt_brt_shadowsteed	wh_dlc07_brt_shadowsteed_campaign	1	wh_main_vo_culture_Horse	False	0	False
cam_hr1_warhorse	wh_dlc07_cam_mnt_brt_silvaron	wh_dlc07_brt_silvaron	1	wh_main_vo_culture_Horse	False	0	False
cam_hr1_warhorse	wh_main_cam_mnt_brt_barded_warhorse	wh_brt_warhorses_barded_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_hr1_warhorse	wh_main_cam_mnt_brt_barded_warhorse_faction_colours	wh_brt_warhorses_barded_faction_colours_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_bc2b_hippogryph	wh_main_cam_mnt_brt_beaquis	wh_brt_beaquis_the_hippogryph	0.6	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	False	0	False
cam_bc2b_hippogryph	wh_main_cam_mnt_brt_hippogryph	wh_brt_hippogryphs_lord	0.6	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	False	0	False
cam_bc2b_hippogryph	wh_main_cam_mnt_brt_hippogryph_faction_colours	wh_brt_hippogryphs_lord_faction_colours	0.6	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	False	0	False
cam_hr1_pegasus	wh_main_cam_mnt_brt_pegasus	wh_brt_pegasus_campaign	1	wh_main_vo_culture_Pegasus	True	0	False
cam_hr1_pegasus	wh_main_cam_mnt_brt_royal_pegasus	wh_brt_royal_pegasus_campaign	1	wh_main_vo_culture_Pegasus	True	0	False
cam_hr1_pegasus	wh_main_cam_mnt_brt_royal_pegasus_faction_colours	wh_brt_royal_pegasus_faction_colours_campaign	1	wh_main_vo_culture_Pegasus	True	0	False
cam_hr1_warhorse	wh_main_cam_mnt_brt_warhorse	wh_brt_warhorses_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_hr1_warhorse	wh_main_cam_mnt_chs_barded_chaos_steed	wh_chs_barded_chaos_steed_campaign	0.8999999	wh_main_vo_culture_Horse	True	0	False
cam_dr1b_chaos_dragon	wh_main_cam_mnt_chs_chaos_dragon	wh_chs_dragon	0.55	wh_main_vo_culture_Dragon_Large	False	0	False
cam_hr1_warhorse	wh_main_cam_mnt_chs_chaos_steed	wh_chs_chaos_steed_campaign	0.8999999	wh_main_vo_culture_Skeletal_horse	False	0	False
