special_ability_phase_stat_effects_tables
3
phase	value	stat	how
wh_DELETE_THIS_AFTERWARDS_test_armour	1.4	stat_melee_damage_base	mult
wh_DELETE_THIS_AFTERWARDS_test_ward	34	stat_melee_attack	add
wh_dlc01_banner_passive_blasted_standard	12	stat_missile_block_chance	add
wh_dlc01_item_passive_helm_of_many_eyes	8	stat_armour	add
wh_dlc01_item_passive_helm_of_many_eyes	8	stat_melee_attack	add
wh_dlc01_item_passive_the_crown_of_domination	4	stat_morale	add
wh_dlc01_weapon_abilities_starcrusher	1.4	scalar_splash_attack_power	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.32	scalar_splash_attack_power	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.6	stat_melee_damage_ap	mult
wh_dlc01_weapon_abilities_the_slayer_of_kings	1.6	stat_melee_damage_base	mult
wh_dlc02_unit_passive_the_flag_of_blood_keep	22	stat_resistance_missile	add
wh_dlc03_banner_passive_manbane_standard	-4	stat_morale	add
wh_dlc03_banner_passive_totem_of_rust	-6	stat_armour	add
wh_dlc03_character_abilities_apocalyptic_vision	34	stat_melee_attack	add
wh_dlc03_character_abilities_apocalyptic_vision	16	stat_morale	add
wh_dlc03_character_abilities_call_of_violence	16	stat_morale	add
wh_dlc03_hero_passive_something_wicked_this_way_comes	-4	stat_morale	add
wh_dlc03_hero_passive_strength_of_the_land_iii	18	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_ii	12	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_i	6	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_iv	18	stat_armour	add
wh_dlc03_hero_passive_strength_of_the_land_iv	11	stat_resistance_missile	add
wh_dlc03_hero_passive_the_unrelenting_warherd_iii	16	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_ii	12	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_i	8	stat_melee_attack	add
wh_dlc03_hero_passive_the_unrelenting_warherd_iv	1.36	stat_charge_bonus	mult
wh_dlc03_hero_passive_the_unrelenting_warherd_iv	16	stat_melee_attack	add
wh_dlc03_item_abilities_chalice_of_dark_rain	0.7	stat_accuracy	mult
wh_dlc03_item_abilities_hagtree_fetish	0	scalar_miscast_chance	mult
wh_dlc03_item_abilities_horn_of_the_first_beast	1.12	stat_charge_bonus	mult
wh_dlc03_item_abilities_horn_of_the_first_beast	12	stat_melee_attack	add
wh_dlc03_item_abilities_horn_of_the_first_beast	1.18	stat_melee_damage_base	mult
wh_dlc03_item_passive_banner_of_the_fallen_king	1.18	stat_melee_damage_ap	mult
wh_dlc03_item_passive_banner_of_the_fallen_king	1.22	stat_melee_damage_base	mult
wh_dlc03_item_passive_blackened_plate	20	stat_resistance_flame	add
wh_dlc03_item_passive_icon_of_vilification	1.15	stat_melee_damage_ap	mult
wh_dlc03_item_passive_icon_of_vilification	1.15	stat_melee_damage_base	mult
wh_dlc03_item_passive_icon_of_vilification	5	stat_morale	add
wh_dlc03_item_passive_the_dark_mail	-30	stat_armour	add
wh_dlc03_item_passive_the_dark_mail	-36	stat_melee_defence	add
wh_dlc03_lord_passive_crush_the_weak	-8	stat_melee_attack	add
wh_dlc03_lord_passive_crush_the_weak	-9	stat_melee_defence	add
wh_dlc03_lord_passive_crush_the_weak	-4	stat_morale	add
wh_dlc03_lore_passive_bestial_surge	1.18	stat_charge_bonus	mult
wh_dlc03_quest_passive_poisoning	0.52	scalar_speed	mult
wh_dlc03_unit_abilities_slaughterers_call	1.08	stat_charge_bonus	mult
wh_dlc03_unit_abilities_slaughterers_call	8	stat_melee_attack	add
wh_dlc03_unit_abilities_slaughterers_call	8	stat_morale	add
wh_dlc03_unit_passive_bloodgreed	1.2	scalar_speed	mult
wh_dlc03_unit_passive_bloodgreed	12	stat_morale	add
wh_dlc03_unit_passive_drunken	4	stat_morale	add
wh_dlc03_unit_passive_primal_fury	1.12	scalar_speed	mult
wh_dlc03_unit_passive_primal_fury	1.1	stat_charge_bonus	mult
wh_dlc03_unit_passive_primal_fury	5	stat_melee_attack	add
wh_dlc03_unit_passive_soul_eater	1.25	scalar_miscast_chance	mult
wh_dlc03_weapon_abilities_scourge	34	stat_melee_attack	add
wh_dlc03_weapon_abilities_scourge	36	stat_melee_defence	add
wh_dlc03_weapon_passive_mangelder	-4	stat_morale	add
wh_dlc03_weapon_passive_the_brass_cleaver	8	stat_melee_attack	add
wh_dlc04_hero_passive_divine_power	1.5	scalar_miscast_chance	mult
wh_dlc04_lord_abilities_beguile	-32	stat_melee_attack	add
wh_dlc04_lord_passive_aura_of_dark_majesty	-4	stat_morale	add
wh_dlc04_unit_contat_helmans_blight	0.64	scalar_speed	mult
wh_dlc04_unit_passive_chilling_aura	0.64	scalar_speed	mult
wh_dlc04_unit_passive_strength_of_the_penitent	18	stat_melee_defence	add
wh_dlc04_unit_passive_strength_of_the_penitent	12	stat_resistance_physical	add
wh_dlc04_unit_passive_vigour_mortis	8	stat_melee_attack	add
wh_dlc04_unit_passive_vigour_mortis	8	stat_melee_defence	add
wh_dlc05_banner_passive_banner_of_the_eternal_queen	8	stat_morale	add
wh_dlc05_banner_passive_banner_of_the_eternal_queen	12	stat_resistance_all	add
wh_dlc05_banner_passive_banner_of_the_hunter_king	1.08	stat_charge_bonus	mult
wh_dlc05_banner_passive_banner_of_the_hunter_king	8	stat_melee_attack	add
wh_dlc05_character_abilities_pray_of_anath_raema	-20	stat_resistance_missile	add
wh_dlc05_hero_passive_hawkish_finesse	40	stat_reloading	add
wh_dlc05_hero_passive_hawkish_precision	1.25	scalar_missile_damage_ap	mult
wh_dlc05_item_abilities_horn_of_the_wild_hunt	1.24	scalar_speed	mult
wh_dlc05_item_abilities_horn_of_the_wild_hunt	1.36	stat_charge_bonus	mult
wh_dlc05_item_passive_cloak_of_isha	44	stat_resistance_all	add
wh_dlc05_lord_passive_call_of_the_woods	8	stat_melee_attack	add
wh_dlc05_lord_passive_howl_of_the_forest	8	stat_melee_attack	add
wh_dlc05_lord_passive_sight_beyond_sight	1.12	scalar_missile_damage_base	mult
wh_dlc05_lord_passive_the_eye_of_kurnous	1.12	scalar_missile_damage_base	mult
wh_dlc05_lore_passive_smoke_and_mirrors	1.12	scalar_speed	mult
wh_dlc05_quest_passive_aura_of_transmutation	95	stat_resistance_all	add
wh_dlc05_unit_abilities_storm_of_blades	20	stat_melee_attack	add
wh_dlc05_unit_abilities_storm_of_blades	-15	stat_melee_defence	add
wh_dlc05_unit_abilities_the_shadows_coil	-15	stat_melee_attack	add
wh_dlc05_unit_abilities_the_shadows_coil	20	stat_melee_defence	add
wh_dlc05_unit_abilities_woven_mist	-20	stat_melee_defence	add
wh_dlc05_unit_abilities_woven_mist	44	stat_resistance_missile	add
wh_dlc05_unit_passive_guardians_of_the_wildwood	8	stat_bonus_vs_large	add
wh_dlc05_weapon_abilities_daiths_sword	-30	stat_armour	add
