effect_bonus_value_siege_item_junctions_tables
0
bonus_value_id	effect	siege_item
siege_item_enabled	wh2_main_effect_siege_engine_enable_def_battering_ram	def_battering_ram
siege_item_enabled	wh2_main_effect_siege_engine_enable_def_siege_tower	def_siege_tower
siege_item_enabled	wh2_main_effect_siege_engine_enable_hef_battering_ram	hef_battering_ram
siege_item_enabled	wh2_main_effect_siege_engine_enable_hef_siege_tower	hef_siege_tower
siege_item_enabled	wh2_main_effect_siege_engine_enable_lzd_battering_ram	lzd_battering_ram
siege_item_enabled	wh2_main_effect_siege_engine_enable_lzd_siege_tower	lzd_siege_tower
siege_item_enabled	wh2_main_effect_siege_engine_enable_skv_battering_ram	skv_battering_ram
siege_item_enabled	wh2_main_effect_siege_engine_enable_skv_siege_tower	skv_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_def_battering_ram	def_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_def_siege_tower	def_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_hef_battering_ram	hef_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_hef_siege_tower	hef_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_lzd_battering_ram	lzd_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_lzd_siege_tower	lzd_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_skv_battering_ram	skv_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_skv_siege_tower	skv_siege_tower
siege_item_allowed	wh2_main_effect_siege_engine_unlock_def_battering_ram	def_battering_ram
siege_item_allowed	wh2_main_effect_siege_engine_unlock_def_siege_tower	def_siege_tower
siege_item_allowed	wh2_main_effect_siege_engine_unlock_hef_battering_ram	hef_battering_ram
siege_item_allowed	wh2_main_effect_siege_engine_unlock_hef_siege_tower	hef_siege_tower
siege_item_allowed	wh2_main_effect_siege_engine_unlock_lzd_battering_ram	lzd_battering_ram
siege_item_allowed	wh2_main_effect_siege_engine_unlock_lzd_siege_tower	lzd_siege_tower
siege_item_allowed	wh2_main_effect_siege_engine_unlock_skv_battering_ram	skv_battering_ram
siege_item_allowed	wh2_main_effect_siege_engine_unlock_skv_siege_tower	skv_siege_tower
siege_item_enabled	wh_dlc03_effect_siege_engine_enable_bst_battering_ram	bst_batteringram
siege_item_enabled	wh_dlc03_effect_siege_engine_enable_bst_siege_tower	bst_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_dlc03_effect_siege_engine_number_bst_battering_ram	bst_batteringram
siege_item_number_of_vehicles_per_construction_item	wh_dlc03_effect_siege_engine_number_bst_siege_tower	bst_siege_tower
siege_item_allowed	wh_dlc03_effect_siege_engine_unlock_bst_battering_ram	bst_batteringram
siege_item_allowed	wh_dlc03_effect_siege_engine_unlock_bst_siege_tower	bst_siege_tower
siege_item_enabled	wh_dlc05_effect_siege_engine_enable_wef_battering_ram	wef_batteringram
siege_item_enabled	wh_dlc05_effect_siege_engine_enable_wef_siege_tower	wef_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_dlc05_effect_siege_engine_number_wef_battering_ram	wef_batteringram
siege_item_number_of_vehicles_per_construction_item	wh_dlc05_effect_siege_engine_number_wef_siege_tower	wef_siege_tower
siege_item_allowed	wh_dlc05_effect_siege_engine_unlock_wef_battering_ram	wef_batteringram
siege_item_allowed	wh_dlc05_effect_siege_engine_unlock_wef_siege_tower	wef_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	brt_batteringram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	brt_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	bst_batteringram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	bst_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	chs_batteringram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	chs_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	def_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	def_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	dwf_batteringram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	dwf_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	emp_batteringram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	emp_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	grn_batteringram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	grn_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	hef_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	hef_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	lzd_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	lzd_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	skv_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	skv_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	vmp_batteringram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	vmp_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	wef_batteringram
siege_item_allowed	wh_main_effect_settlement_walls_hidden	wef_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_enable_brt_battering_ram	brt_batteringram
siege_item_enabled	wh_main_effect_siege_engine_enable_brt_siege_tower	brt_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_enable_chs_battering_ram	chs_batteringram
siege_item_enabled	wh_main_effect_siege_engine_enable_chs_siege_tower	chs_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_enable_dwf_battering_ram	dwf_batteringram
siege_item_enabled	wh_main_effect_siege_engine_enable_dwf_siege_tower	dwf_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_enable_emp_battering_ram	emp_batteringram
siege_item_enabled	wh_main_effect_siege_engine_enable_emp_siege_tower	emp_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_enable_grn_battering_ram	grn_batteringram
siege_item_enabled	wh_main_effect_siege_engine_enable_grn_siege_tower	grn_siege_tower
siege_item_enabled	wh_main_effect_siege_engine_enable_vmp_battering_ram	vmp_batteringram
siege_item_enabled	wh_main_effect_siege_engine_enable_vmp_siege_tower	vmp_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_brt_battering_ram	brt_batteringram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_brt_siege_tower	brt_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_chs_battering_ram	chs_batteringram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_chs_siege_tower	chs_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_dwf_battering_ram	dwf_batteringram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_dwf_siege_tower	dwf_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_emp_battering_ram	emp_batteringram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_emp_siege_tower	emp_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_grn_battering_ram	grn_batteringram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_grn_siege_tower	grn_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_vmp_battering_ram	vmp_batteringram
siege_item_number_of_vehicles_per_construction_item	wh_main_effect_siege_engine_number_vmp_siege_tower	vmp_siege_tower
siege_item_allowed	wh_main_effect_siege_engine_unlock_brt_battering_ram	brt_batteringram
siege_item_allowed	wh_main_effect_siege_engine_unlock_brt_siege_tower	brt_siege_tower
siege_item_allowed	wh_main_effect_siege_engine_unlock_chs_battering_ram	chs_batteringram
siege_item_allowed	wh_main_effect_siege_engine_unlock_chs_siege_tower	chs_siege_tower
siege_item_allowed	wh_main_effect_siege_engine_unlock_dwf_battering_ram	dwf_batteringram
siege_item_allowed	wh_main_effect_siege_engine_unlock_dwf_siege_tower	dwf_siege_tower
