battlefield_buildings_tables
20
key	category	model	audio_material	hitpoints	gun_type	onscreen_name	ignition_threshold	radar_icon	fortwall_penetration_chance	visible_in_public_ted	collision_3d	unknown12	destruct_thresholds	unknown14	unknown15	unknown16	unknown17	unknown18
beech_mushrooms_a	generic	beech_mushrooms_a	rock	500			100		1	False	True	False		1	False	wooden_floor	False	False
beech_mushrooms_b	generic	beech_mushrooms_b	rock	500			100		1	False	True	False		1	False	wooden_floor	False	False
beech_mushrooms_c	generic	beech_mushrooms_c	rock	500			100		1	False	True	False		1	False	wooden_floor	False	False
blk_cube10x10_01_Tower	fort_tower	blk_cube10x10_01	rock	15	wh_tower_brt_arrow	arrow_tower	100		0	False	True	False		1	False	rock	False	False
brt_alpha_bunting	generic	brt_alpha_bunting	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_bunting_01	generic	brt_alpha_bunting_01	rock	15			100		1	False	True	False		1	False	wooden_floor	False	False
brt_alpha_cup_01	incidental	brt_alpha_cup_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_dragon	incidental	brt_alpha_dragon	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_flag_large_01	incidental	brt_alpha_flag_large_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_flag_large_02	incidental	brt_alpha_flag_large_02	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_flag_med_01	incidental	brt_alpha_flag_med_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_flag_med_02	incidental	brt_alpha_flag_med_02	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_flag_small_01	generic	brt_alpha_flag_small_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_flag_small_02	generic	brt_alpha_flag_small_02	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_flag_tall_01	generic	brt_alpha_flag_tall_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_railing	generic	brt_alpha_railing	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_shield_01	incidental	brt_alpha_shield_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_shield_02	generic	brt_alpha_shield_02	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_shield_03	generic	brt_alpha_shield_03	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_alpha_shield_04	generic	brt_alpha_shield_04	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_balcony_01	generic	brt_balcony_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_balcony_02	generic	brt_balcony_02	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_balcony_03	generic	brt_balcony_03	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_balcony_04	generic	brt_balcony_04	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_block_01	generic	brt_block_01	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_block_02	generic	brt_block_02	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_blockout_tower_freestanding	fort_tower	brt_blockout_tower_freestanding	rock	1000	wh_tower_brt_arrow_improved	arrow_tower	100		0	False	True	False		1	False	rock	False	False
brt_blockwall_01	generic	brt_blockwall_01	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_bolderlrg_01	generic	brt_bolderlrg_01	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_boldermed_01	generic	brt_boldermed_01	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_boldermed_02	generic	brt_boldermed_02	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_boldersml_01	generic	brt_boldersml_01	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_boldersml_02	generic	brt_boldersml_02	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_bridge_01	generic	brt_bridge_01	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_bridge_02	generic	brt_bridge_02	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_bridge_03	generic	brt_bridge_03	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_bridgebay_01	generic	brt_bridgebay_01	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_bridgebay_02	generic	brt_bridgebay_02	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_bridgetower_01	generic	brt_bridgetower_01	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_bridgetower_02	generic	brt_bridgetower_02	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_cliff_01	generic	brt_cliff_01	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_cliff_02	generic	brt_cliff_02	rock	500			100		1	False	True	False		1	False	wooden_floor	False	False
brt_cliff_03	generic	brt_cliff_03	rock	500			100		1	False	True	False		1	False	wooden_floor	False	False
brt_cliff_04	generic	brt_cliff_04	rock	500			100		1	False	True	False		1	False	wooden_floor	False	False
brt_crane_01	generic	brt_crane_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_door_pc_01	generic	brt_door_pc_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_dormer_01	generic	brt_dormer_01	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_dormer_02	generic	brt_dormer_02	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_dormer_03	generic	brt_dormer_03	rock	500			100		1	False	True	False		1	False	rock	False	False
brt_house_add_01	generic	brt_house_add_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_add_02	generic	brt_house_add_02	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_add_03	generic	brt_house_add_03	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_add_04	generic	brt_house_add_04	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_add_05	generic	brt_house_add_05	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_add_06	generic	brt_house_add_06	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_add_07	generic	brt_house_add_07	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_add_08	generic	brt_house_add_08	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_add_09	generic	brt_house_add_09	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_add_10	generic	brt_house_add_10	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_add_11	generic	brt_house_add_11	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_add_12	generic	brt_house_add_12	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_domestic_01	generic	brt_house_domestic_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_domestic_02	generic	brt_house_domestic_02	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_domestic_03	generic	brt_house_domestic_03	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_pc_chm_01	generic	brt_house_pc_chm_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_pc_chm_02	generic	brt_house_pc_chm_02	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_pc_chm_03	generic	brt_house_pc_chm_03	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_pc_chm_04	generic	brt_house_pc_chm_04	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_pc_chm_05	generic	brt_house_pc_chm_05	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_pc_lrg_01	generic	brt_house_pc_lrg_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_pc_lrg_02	generic	brt_house_pc_lrg_02	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_pc_lrg_03	generic	brt_house_pc_lrg_03	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_pc_lrg_04	generic	brt_house_pc_lrg_04	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_pc_med_03	generic	brt_house_pc_med_03	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_pc_med_04	generic	brt_house_pc_med_04	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_slum_01	generic	brt_house_slum_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_slum_02	generic	brt_house_slum_02	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_slum_03	generic	brt_house_slum_03	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_stkd_01	generic	brt_house_stkd_01	rock	15			100		1	False	True	False		1	False	rock	False	False
brt_house_stkd_02	generic	brt_house_stkd_02	rock	15			100		1	False	True	False		1	False	rock	False	False
