effect_bundles_tables
1
key	localised_description	localised_title	ui_icon	bundle_target
wh_main_bundle_stance_army_tunnelling_skv_zar	Uses the Underway to traverse the world.	Stance: Use Underway	subterranean.png	force
zar_sk_payload_food_for_gold	Food supply is on its way.	Food Supply	skaven_food.png	faction
wh_main_bundle_stance_army_ambush_skv_zar	Uses the Underway to traverse the world.	Stance: Use Underway	icon_effects_ambush.png	force
wh_main_bundle_stance_army_default_skv_zar	Uses the Underway to traverse the world.	Stance: Use Underway	icon_effects_army.png	force
wh_main_bundle_stance_army_forced_march_skv_zar	Uses the Underway to traverse the world.	Stance: Use Underway	icon_effects_forced_march.png	force
wh_main_bundle_stance_army_laying_siege_skv_zar	Uses the Underway to traverse the world.	Stance: Use Underway	siege_attack.png	force
zar_sk_payload_fury_thieves	Stoolen Food	Stoolen Food	skaven_food.png	faction
zar_sk_payload_false_prophet_kill	placeholder	placeholder	melee.png	faction
zar_sk_payload_false_prophet_use	placeholder	placeholder	religion.png	faction
zar_sk_region_skaven_lair	placeholder	placeholder	zar_skv_lair1.png	region
zar_sk_payload_skaven_food_theft	placeholder	placeholder	skaven_food.png	region
zar_sk_payload_skaven_raid_2	placeholder	placeholder	skaven_raid.png	region
zar_sk_payload_sewer_patrol	placeholder	placeholder	sewer_guard.png	region
zar_sk_payload_skaven_raid_3	placeholder	placeholder	skaven_raid2.png	region
zar_sk_payload_vermintide_heroes	placeholder	placeholder	vermintide_heroes.png	region
zar_sk_payload_bad_food	placeholder	placeholder	skaven_food_bad.png	faction
zar_sk_payload_retake_skavenblight_denied	placeholder	placeholder	diplomacy.png	faction
zar_sk_payload_skavenblight_has_fallen	placeholder	placeholder	morale.png	faction
zar_sk_payload_skaven_lair_support	placeholder	placeholder	skaven_food.png	force
