cdir_events_dilemma_option_junctions_tables
2
dilemma_key	id	unknown3	option_key	value
wh2_main_dilemma_loyalty_positive_def_the_hermit	1003722050	0	CND_FIRST_ROUND	1
wh2_main_dilemma_loyalty_positive_skv_when_rats_fly	1003918737	0	VAR_CHANCE	100
wh2_main_dilemma_loyalty_def_sorceror_delinquent_1	1003924273	0	GEN_TARGET_MODEL	
wh2_main_lzd_skilled_forces	1008928073	0	CND_FIRST_ROUND	12
wh2_main_lzd_new_blood	1009329728	0	CND_ROUNDS_UNTIL_NEXT	20
wh2_main_dilemma_loyalty_positive_def_a_tribute	1016838064	0	GEN_TARGET_MODEL	
wh2_main_dilemma_loyalty_positive_def_the_alchemist	101836782	0	VAR_CHANCE	100
wh2_main_dilemma_loyalty_def_blessing_of_khaine_1	1018561864	0	CND_FACTION	wh2_main_def_naggarond
wh2_main_lzd_knowledge_regained	1023758772	0	CND_FIRST_ROUND	10
wh2_main_dilemma_loyalty_def_price_of_treachery_1	1024354559	0	CND_FIRST_ROUND	1
wh2_main_dilemma_loyalty_positive_skv_whisper_rumours	1026487107	0	VAR_CHANCE	100
wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_2_a	1026805990	0	CND_FACTION	wh2_main_skv_clan_pestilens
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	1030277268	0	GEN_TARGET_FACTION	
wh2_main_dilemma_loyalty_positive_def_the_hermit	1030777034	0	CND_FACTION	wh2_main_def_cult_of_pleasure
wh2_main_hef_intrigue_favour_of_the_phoenix	1033072821	0	CND_HAS_AGENT	wizard
wh2_main_lzd_out_or_in	103470850	0	CND_ROUNDS_UNTIL_NEXT	20
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	1034902725	0	CND_CAN_RECRUIT_UNIT_CLASS	chariot
wh2_main_lzd_out_or_in	1048084050	0	CND_AT_WAR_SUBCULTURE	wh_main_sc_nor_norsca
wh2_main_hef_intrigue_signed_sealed_delivered	1051537534	0	CND_MIN_TREASURY	1500
wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_2_a	1052905417	0	CND_DILEMMA_CHOSEN_FIRST	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1
wh2_main_lzd_one_shot	1052927525	0	CND_HAS_AGENT	spy;champion;wizard
wh2_main_dilemma_loyalty_positive_skv_item_of_power	1055969621	0	CND_ROUNDS_UNTIL_NEXT	10
wh2_main_dilemma_loyalty_positive_def_the_hermit	1057541548	0	VAR_CHANCE	100
wh2_main_lzd_a_tainted_bounty	1075269209	0	CND_FACTION	wh2_main_lzd_last_defenders
wh2_main_dilemma_loyalty_positive_skv_when_rats_fly	1076193932	0	CND_FIRST_ROUND	1
wh2_main_dilemma_loyalty_def_the_purge_1	1077084478	0	CND_FIRST_ROUND	1
wh2_main_hef_intrigue_the_would_be_suitor	1083671182	0	GEN_CND_FACTION	wh2_main_hef_ellyrion
wh2_main_dilemma_loyalty_positive_def_the_alchemist	1084572122	0	GEN_TARGET_MODEL	
wh2_main_dilemma_loyalty_positive_skv_clawback_provision	1085622416	0	CND_ROUNDS_UNTIL_NEXT	10
wh2_main_dilemma_loyalty_positive_def_the_curse_of_kurnous	1090616939	0	CND_FACTION	wh2_main_def_naggarond
wh2_main_dilemma_loyalty_skv_pestilential_proposition_1	1094255485	0	CND_FIRST_ROUND	1
wh2_main_lzd_the_greater_good	1097654482	0	CND_ROUNDS_UNTIL_NEXT	20
wh2_main_dilemma_loyalty_positive_def_a_tribute	1105209769	0	CND_FIRST_ROUND	1
wh2_main_def_names_of_power_co_6_hydra	1107563897	0	VAR_CHANCE	100
wh2_main_lzd_ways_and_means	1111520985	0	CND_ROUNDS_UNTIL_NEXT	20
wh2_main_dilemma_loyalty_def_price_of_treachery_1	1119118327	0	VAR_CHANCE	100
wh2_main_lzd_blood_sacrifice	1119217315	0	CND_FACTION	wh2_main_lzd_hexoatl
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	1120355715	0	CND_FACTION	wh2_main_skv_clan_mors
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_a	1124294921	0	VAR_CHANCE	100
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	1124533198	0	CND_FIRST_ROUND	1
wh2_main_hef_intrigue_the_caledor_question	1130307273	0	CND_FACTION	wh2_main_hef_eataine
wh2_main_dilemma_loyalty_skv_the_skavenblight_question_1	1134138025	0	GEN_TARGET_MODEL	
wh2_main_dilemma_loyalty_positive_skv_item_of_power	1134285501	0	CND_FACTION	wh2_main_skv_clan_mors
wh2_main_hef_intrigue_they_who_whisper	1134763204	0	VAR_CHANCE	5
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_a	1135148902	0	CND_FACTION	wh2_main_skv_clan_pestilens
wh2_main_hef_intrigue_the_caledor_question	1135251485	0	VAR_CHANCE	5
wh2_main_dilemma_loyalty_positive_skv_shiny_scale_stuff	1136091397	0	CND_FACTION	wh2_main_skv_clan_mors
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	1138115618	0	GEN_TARGET_MODEL	
wh2_main_dilemma_loyalty_positive_def_the_black_council	1145292980	0	CND_FACTION	wh2_main_def_cult_of_pleasure
wh2_main_dilemma_loyalty_positive_skv_connivers	1150104867	0	CND_FACTION	wh2_main_skv_clan_pestilens
wh2_main_lzd_one_shot	1154403711	0	CND_ROUNDS_UNTIL_NEXT	20
wh2_main_dilemma_loyalty_positive_skv_loyal_musk	1154950530	0	CND_ROUNDS_UNTIL_NEXT	10
wh2_main_def_names_of_power_co_3_smith	1156064520	0	VAR_CHANCE	100
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_a	1158236835	0	CND_FACTION	wh2_main_skv_clan_mors
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	115938915	0	GEN_CND_DIPLOMACY_AVAILABLE	
wh2_main_hef_intrigue_wed_to_etiquette	1160793686	0	GEN_TARGET_NONE	
wh2_main_hef_intrigue_the_hunt_and_the_hunter	1161568055	0	CND_FACTION	wh2_main_hef_order_of_loremasters
wh2_main_dilemma_loyalty_def_black_council_1	1166413851	0	CND_FACTION	wh2_main_def_naggarond
wh2_main_dilemma_loyalty_positive_def_the_relic	1166699332	0	CND_FACTION	wh2_main_def_naggarond
wh2_main_hef_intrigue_the_court_of_many_kings	1167104996	0	CND_MIN_TREASURY	3000
wh2_main_dilemma_loyalty_skv_pestilential_proposition_2_a	1167830473	0	CND_DILEMMA_CHOSEN_FIRST	wh2_main_dilemma_loyalty_skv_pestilential_proposition_1
wh2_main_hef_intrigue_court_of_the_sea	1169621810	0	VAR_CHANCE	5
wh2_main_dilemma_loyalty_def_sorceror_delinquent_1	1173825780	0	CND_FACTION	wh2_main_def_cult_of_pleasure
wh2_main_hef_intrigue_the_caledor_question	1175522744	0	GEN_CND_FACTION	wh2_main_hef_caledor
wh2_main_hef_intrigue_court_of_the_sea	1176464401	0	CND_FACTION	wh2_main_hef_eataine
wh2_main_dilemma_loyalty_skv_pestilential_proposition_1	1177324561	0	VAR_CHANCE	100
wh2_main_dilemma_loyalty_def_blessing_of_khaine_1	1179221406	0	VAR_CHANCE	100
wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	1181062827	0	CND_FACTION	wh2_main_skv_clan_pestilens
wh2_main_dilemma_loyalty_skv_shades_of_grey_1	1181715908	0	CND_FACTION	wh2_main_skv_clan_pestilens
wh2_main_dilemma_loyalty_positive_skv_connivers	1181779388	0	CND_ROUNDS_UNTIL_NEXT	10
wh2_main_dilemma_loyalty_skv_moulder_and_scurry_2_b	1184045662	0	VAR_CHANCE	100
wh2_main_hef_intrigue_life_in_the_lagoon	1184866344	0	GEN_TARGET_NONE	
wh2_main_dilemma_loyalty_positive_def_the_hermit	1186754798	0	CND_FACTION	wh2_main_def_naggarond
wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_a	1187038233	0	CND_FACTION	wh2_main_skv_clan_mors
wh2_main_dilemma_loyalty_positive_def_assassin	1193791355	0	CND_FACTION	wh2_main_def_naggarond
wh2_main_hef_intrigue_whispers_of_the_mourning_chorus	1194582887	0	CND_ROUNDS_UNTIL_NEXT	20
wh2_main_def_names_of_power_co_1_potion	1198624182	0	GEN_TARGET_MODEL	
wh2_main_lzd_war_babies	1204400731	0	CND_ROUNDS_UNTIL_NEXT	20
