campaign_mount_animation_set_overrides_tables
2
character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_alastair_3	cam_hero_hu1d_elf_hr1_warhorse_halberd	0
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_alastair_4	cam_hero_hu1d_elf_hr1_warhorse_halberd	0
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_alastair_5	cam_hero_hu1d_elf_hr1_warhorse_halberd	0
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_noble_2	cam_hero_hu1d_elf_hr1_warhorse_halberd	0
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_noble_3	cam_lord_hu1d_elf_bi1_eagle_wb_sword_and_shield	0
cam_hero_hu1d_elf_halberd	wh2_main_hef_cha_noble_4	cam_hero_hu1d_elf_wm_tiranoc_chariot01_halberd	0
cam_hero_hu7_skink_club_and_blowpipe	wh2_main_lzd_cha_skink_chief_1	cam_hero_hu7_skink_bi3_terradon_wb_club_blowpipe	0
cam_hero_hu7_skink_club_and_blowpipe	wh2_main_lzd_cha_skink_chief_2	cam_hero_hu7_skink_club_and_blowpipe	0
cam_hero_hu7_skink_club_and_blowpipe	wh2_main_lzd_cha_skink_chief_3	cam_hero_hu7_skink_club_and_blowpipe	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_beasts_1	cam_hero_hu7_skink_bi3_terradon_wb_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_beasts_2	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_beasts_3	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_heavens_1	cam_hero_hu7_skink_bi3_terradon_wb_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_heavens_2	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hero_hu7_skink_staff_and_club	wh2_main_lzd_cha_skink_priest_heavens_3	cam_hero_hu7_skink_hq1_stegadon_staff_and_club	0
cam_hu17_skaven_censer	wh2_main_skv_cha_plague_priest_2	cam_lord_hu17_plague_furnace_staff	0
cam_hu17_skaven_dual_sword	wh2_main_skv_cha_warlord_1	cam_lord_hu17_skaven_warlord_hu18_rat_ogre_drill	0
