cdir_military_generator_template_priorities_tables
0
config_key	priority	template_key
WH_Beastmen	5	WH_Beastmen_land
WH_Beastmen	1	WH_Beastmen_land_2
WH_Beastmen	1	WH_default_naval
WH_Bretonnia	5	WH_Bretonnia_land
WH_Bretonnia	5	WH_Bretonnia_land_cav
WH_Bretonnia	1	WH_Bretonnia_land_flying
WH_Bretonnia	1	WH_default_naval
WH_Chaos	5	WH_Chaos_land
WH_Chaos	1	WH_Chaos_land_2
WH_Chaos	1	WH_default_naval
WH_Dark_Elves	5	WH_Dark_Elves_land
WH_Dark_Elves	5	WH_Dark_Elves_land_2
WH_Dark_Elves	1	WH_Dark_Elves_land_rare
WH_Dark_Elves	1	WH_default_naval
WH_Dwarfs	5	WH_Dwarfs_land
WH_Dwarfs	1	WH_Dwarfs_land_2
WH_Dwarfs	1	WH_default_naval
WH_Empire	5	WH_Empire_land
WH_Empire	1	WH_Empire_land_2
WH_Empire	1	WH_default_naval
WH_Greenskin_Rebels	1	WH_Greenskin_Rebels_land
WH_Greenskins	1	WH_Greenskins_land
WH_Greenskins	1	WH_Greenskins_land_2
WH_Greenskins	1	WH_default_naval
WH_Greenskins_Waaagh	1	WH_Greenskins_Waaagh_land
WH_Greenskins_Waaagh	1	WH_default_naval
WH_High_Elves	5	WH_High_Elves_land
WH_High_Elves	5	WH_High_Elves_land_2
WH_High_Elves	1	WH_High_Elves_land_rare
WH_High_Elves	1	WH_default_naval
WH_Kislev	1	WH_Kislev_land
WH_Kislev	1	WH_default_naval
WH_Lizardmen	5	WH_Lizardmen_land
WH_Lizardmen	5	WH_Lizardmen_land_2
WH_Lizardmen	1	WH_Lizardmen_land_rare
WH_Lizardmen	1	WH_default_naval
WH_Norsca	1	WH_Norsca_land
WH_Norsca	1	WH_default_naval
WH_Skaven	5	WH_Skaven_land
WH_Skaven	5	WH_Skaven_land_2
WH_Skaven	5	WH_Skaven_land_3
WH_Skaven	1	WH_Skaven_land_rare
WH_Skaven	1	WH_default_naval
WH_TEB	1	WH_TEB_land
WH_TEB	1	WH_default_naval
WH_Vampire_Counts	5	WH_Vampire_Counts_land
WH_Vampire_Counts	1	WH_Vampire_Counts_land_2
WH_Vampire_Counts	1	WH_default_naval
WH_Wood_Elves	1	WH_Wood_Elves_land
WH_Wood_Elves	1	WH_default_naval
WH_Wood_Elves_Durthu	1	WH_Wood_Elves_Durthu_land
WH_Wood_Elves_Durthu	1	WH_Wood_Elves_land
WH_Wood_Elves_Durthu	1	WH_default_naval
WH_Wood_Elves_Orion	1	WH_Wood_Elves_Orion_land
WH_Wood_Elves_Orion	1	WH_Wood_Elves_land
WH_Wood_Elves_Orion	1	WH_default_naval
WH_dlc03_Empire_mini_cavalry	1	WH_dlc03_Empire_land_cavalry
WH_dlc03_Empire_mini_infantry	1	WH_dlc03_Empire_land_infantry
WH_dlc06_Greenskins_Waaaagh_skarsnik	1	WH_dlc06_Greenskins_land_skarsnik
WH_dlc06_Greenskins_Waaaagh_wurrzag	1	WH_dcl06_Greenskins_land_wurrzag
WH_mp_Beastmen_land	1	WH_Beastmen_land
WH_mp_Beastmen_land	1	WH_Beastmen_land_2
WH_mp_Beastmen_siege_attack	1	WH_mp_Beastmen_siege_attack
WH_mp_Beastmen_siege_defence	1	WH_mp_Beastmen_siege_defence
WH_mp_Bretonnia_land	1	WH_Bretonnia_land
WH_mp_Bretonnia_land	1	WH_Bretonnia_land_cav
WH_mp_Bretonnia_land	1	WH_Bretonnia_land_flying
WH_mp_Bretonnia_siege_attack	1	WH_mp_Bretonnia_siege_attack
WH_mp_Bretonnia_siege_defence	1	WH_mp_Bretonnia_siege_defence
WH_mp_Chaos_land	1	WH_Chaos_land
WH_mp_Chaos_land	1	WH_Chaos_land_2
WH_mp_Chaos_siege_attack	1	WH_mp_Chaos_siege_attack
WH_mp_Chaos_siege_defence	1	WH_mp_Chaos_siege_defence
WH_mp_Dark_Elves_land	1	WH_Dark_Elves_land
WH_mp_Dark_Elves_land	1	WH_Dark_Elves_land_2
WH_mp_Dark_Elves_land	1	WH_Dark_Elves_land_rare
WH_mp_Dark_Elves_siege_attack	1	WH_mp_Dark_Elves_siege_attack
WH_mp_Dark_Elves_siege_defence	1	WH_mp_Dark_Elves_siege_defence
WH_mp_Dwarfs_land	1	WH_Dwarfs_land
WH_mp_Dwarfs_land	1	WH_Dwarfs_land_2
WH_mp_Dwarfs_siege_attack	1	WH_mp_Dwarfs_siege_attack
WH_mp_Dwarfs_siege_defence	1	WH_mp_Dwarfs_siege_defence
WH_mp_Empire_land	1	WH_Empire_land
WH_mp_Empire_land	1	WH_Empire_land_2
WH_mp_Empire_siege_attack	1	WH_mp_Empire_siege_attack
WH_mp_Empire_siege_defence	1	WH_mp_Empire_siege_defence
WH_mp_Greenskins_land	1	WH_Greenskins_land
WH_mp_Greenskins_land	1	WH_Greenskins_land_2
WH_mp_Greenskins_siege_attack	1	WH_mp_Greenskins_siege_attack
WH_mp_Greenskins_siege_defence	1	WH_mp_Greenskins_siege_defence
WH_mp_High_Elves_land	1	WH_High_Elves_land
WH_mp_High_Elves_land	1	WH_High_Elves_land_2
WH_mp_High_Elves_land	1	WH_High_Elves_land_rare
WH_mp_High_Elves_siege_attack	1	WH_mp_High_Elves_siege_attack
WH_mp_High_Elves_siege_defence	1	WH_mp_High_Elves_siege_defence
WH_mp_Kislev_land	1	WH_Kislev_land
WH_mp_Kislev_siege_attack	1	WH_mp_Kislev_siege_attack
WH_mp_Kislev_siege_defence	1	WH_mp_Kislev_siege_defence
WH_mp_Lizardmen_land	1	WH_Lizardmen_land
WH_mp_Lizardmen_land	1	WH_Lizardmen_land_2
WH_mp_Lizardmen_land	1	WH_Lizardmen_land_rare
WH_mp_Lizardmen_siege_attack	1	WH_mp_Lizardmen_siege_attack
WH_mp_Lizardmen_siege_defence	1	WH_mp_Lizardmen_siege_defence
WH_mp_Norsca_land	1	WH_Norsca_land
WH_mp_Norsca_siege_attack	1	WH_mp_Norsca_siege_attack
WH_mp_Norsca_siege_defence	1	WH_mp_Norsca_siege_defence
