ui_colours_tables
1
blue	green	key	red	unknown4	unknown5
230	175	alliance_ally	85	Colour used for indicating allies in battle/campaign	True
128	128	alliance_destroyed	128	Colour used for indicating destroyed factions/armies in battle/campaign	True
0	20	alliance_enemy	196	Colour used for indicating enemies in battle/campaign	True
255	255	alliance_neutral	255	Colour used for indicating neutrality in battle/campaign	True
0	185	alliance_player	255	Colour used for indicating player owned in battle/campaign	True
0	128	ancillary_crafted	128	placeholder	True
167	107	ancillary_rare	28	placeholder	True
255	110	ancillary_uncommon	36	placeholder	True
111	9	ancillary_unique	75	placeholder	True
12	73	dark_g	30	Positive. Generic colour usesd by UI for text tags, fonts, images, etc. 	True
0	0	dark_r	170	Negative. Generic colour usesd by UI for text tags, fonts, images, etc. 	True
0	140	dark_y	140	Generic colour usesd by UI for text tags, fonts, images, etc	True
24	49	dip_attitude_0	198	hostile - RGBS to match diplomatic attitude icon in campaign	True
45	98	dip_attitude_1	255	very unfriendly - RGBS to match diplomatic attitude icon in campaign	True
45	98	dip_attitude_2	255	unfriendly - RGBS to match diplomatic attitude icon in campaign	True
91	173	dip_attitude_3	255	neutral - RGBS to match diplomatic attitude icon in campaign	True
56	254	dip_attitude_4	215	friendly - RGBS to match diplomatic attitude icon in campaign	True
55	255	dip_attitude_5	160	very friendly - RGBS to match diplomatic attitude icon in campaign	True
55	255	dip_attitude_6	160	best friends - RGBS to match diplomatic attitude icon in campaign	True
55	255	fatigue_active	160	Colour for this fatigue state in battle	False
45	45	fatigue_exhausted	255	Colour for this fatigue state in battle	False
55	255	fatigue_fresh	160	Colour for this fatigue state in battle	False
91	173	fatigue_tired	255	Colour for this fatigue state in battle	False
45	45	fatigue_very_tired	255	Colour for this fatigue state in battle	False
91	173	fatigue_winded	255	Colour for this fatigue state in battle	False
0	0	geomantic_web_1	255	used for geomantic web text	False
0	94	geomantic_web_2	255	used for geomantic web text	False
0	186	geomantic_web_3	255	used for geomantic web text	False
0	255	geomantic_web_4	207	used for geomantic web text	False
0	202	geomantic_web_5	91	used for geomantic web text	False
55	255	green	160	Positive. Generic colour usesd by UI for text tags, fonts, images, etc. 	True
0	7	group_colour1	120	Colour for this battle group index (used for group frame for example)	False
154	100	group_colour10	0	Colour for this battle group index (used for group frame for example)	False
0	90	group_colour2	183	Colour for this battle group index (used for group frame for example)	False
0	150	group_colour3	224	Colour for this battle group index (used for group frame for example)	False
30	218	group_colour4	155	Colour for this battle group index (used for group frame for example)	False
0	166	group_colour5	165	Colour for this battle group index (used for group frame for example)	False
0	120	group_colour6	109	Colour for this battle group index (used for group frame for example)	False
0	160	group_colour7	101	Colour for this battle group index (used for group frame for example)	False
0	119	group_colour8	5	Colour for this battle group index (used for group frame for example)	False
146	148	group_colour9	0	Colour for this battle group index (used for group frame for example)	False
8	100	help_page_link	206	Bold orange colour for unvisited links on help pages/infotext	True
127	231	help_page_link_inactive	255	Yellow colour for inactive links on help pages/infotext (for links that only show tooltips and can't be clicked on)	True
84	122	help_page_link_visited	168	Fade orange/brown colour for visited links on help pages/infotext	True
0	92	link	185	Colour used for hyperlinked text in UI	True
225	225	magic	65	Colour magic is shown as in UI (used on text, icons, campaign tacmap, etc)	True
231	225	magic_range_link	172	Colour of magic link spline in area of effect display system when targetting spells	False
255	255	morale_broken	255	Colour for this morale state in battle	True
55	255	morale_confident	160	Colour for this morale state in battle	True
55	255	morale_eager	160	Colour for this morale state in battle	True
55	255	morale_impetuous	160	Colour for this morale state in battle	True
45	45	morale_shaken	255	Colour for this morale state in battle	True
255	255	morale_shattered	255	Colour for this morale state in battle	True
55	255	morale_steady	160	Colour for this morale state in battle	True
45	45	morale_wavering	255	Colour for this morale state in battle	True
91	173	orange	255	Generic colour usesd by UI for text tags, fonts, images, etc	True
45	45	red	255	Negative. Generic colour usesd by UI for text tags, fonts, images, etc. 	True
255	215	team_colour_ally_1	126	Multiplayer battle team colour	True
230	175	team_colour_ally_2	85	Multiplayer battle team colour	True
188	133	team_colour_ally_3	43	Multiplayer battle team colour	True
138	92	team_colour_ally_4	30	Multiplayer battle team colour	True
0	20	team_colour_enemy_1	196	Multiplayer battle team colour	True
67	60	team_colour_enemy_2	255	Multiplayer battle team colour	True
141	126	team_colour_enemy_3	255	Multiplayer battle team colour	True
0	2	team_colour_enemy_4	168	Multiplayer battle team colour	True
0	66	team_colour_ffa_1	255	Multiplayer battle team colour	True
255	0	team_colour_ffa_2	146	Multiplayer battle team colour	True
28	159	team_colour_ffa_3	70	Multiplayer battle team colour	True
212	214	team_colour_ffa_4	0	Multiplayer battle team colour	True
0	185	yellow	255	Generic colour usesd by UI for text tags, fonts, images, etc	True
