ui_unit_bullet_point_unit_overrides_tables
0
bullet_point	unit_key
shielded	brt_macemen
armour_piercing	brt_macemen
armoured_and_shielded	brt_tournament
melee_expert	brt_tournament
decent_melee	brt_crossbow
poison	bst_Pestigor
regeneration	bst_Pestigor
armoured_and_shielded	bst_Pestigor
armoured	bst_Khorngor
armoured	bst_Slaangor
resilience	bst_Pestigor
knockback_hit_resist	bst_Khorngor
vigorous	bst_Slaangor
vanguard_deployment	bst_Slaangor
very_fast	bst_Slaangor
damage_dealer	bst_Tzaangor
vigorous	bst_Tzaangor
vigorous	bst_Khorngor
melee_expert	bst_Khorngor
vanguard_deployment	bst_Tzaangor
magical_aura	bst_Tzaangor
damage_dealer	chs_chaos_dragon
terror	chs_chaos_dragon
scaly_skin	chs_chaos_dragon
damage_dealer	chs_zelot
spellcaster	chs_zelot
magical_aura	chs_zelot
anti_infantry	chs_marauder_mutant
damage_dealer	chs_marauder_mutant
armour_piercing	chs_marauder_mutant
armoured	chs_marauder_mutant
armoured_and_shielded	dwf_oathsworn
charge_reflector	dwf_oathsworn
melee_expert	dwf_oathsworn
anti_large	dwf_giant_slayer
charge_reflector_vs_large	dwf_giant_slayer
fast_dwarf	dwf_giant_slayer
deathblow	dwf_giant_slayer
damage_dealer	dwf_sniper
armoured	dwf_sniper
good_range	dwf_sniper
armour_piercing	wh_main_dwf_cha_lord_0
anti_infantry	emp_knights_panther
armoured_and_shielded	emp_knights_panther
armour_piercing	emp_sigmar_war
armoured_and_shielded	emp_sigmar_war
battle_prayers	emp_sigmar_war
vanguard_deployment	emp_witch_squad
damage_dealer	emp_witch_squad
armour_piercing_ranged	emp_nuln_ironsides
damage_dealer	emp_nuln_ironsides
decent_melee	emp_nuln_ironsides
charge_reflector	emp_imp_guard
anti_large	emp_imp_guard
vanguard_deployment	emp_huntsmen
anti_large	emp_huntsmen
anti_large	emp_witch_squad
armour_piercing	emp_imp_guard
armour_piercing_ranged	wh_main_emp_cha_general_0
stalk	emp_huntsmen
stalk	emp_witch_squad
bigger_harder	grn_savage_big_great
damage_dealer	grn_savage_big_great
warpaint	grn_savage_big_great
anti_infantry	grn_savage_big_great
vanguard_deployment	grn_forest_spear
shielded	grn_forest_spear
lethal_poison	grn_forest_spear
poor_morale	grn_forest_spear
armoured_and_shielded	grn_black_orc_shields
bigger_harder	grn_black_orc_shields
charge_reflector	grn_black_orc_shields
knockback_hit_resist	grn_black_orc_shields
damage_dealer	grn_black_orc_boss
melee_expert	grn_black_orc_boss
knockback_hit_resist	grn_black_orc_boss
poor_morale	grn_nightgoblin_spearmen
poison	grn_nightgoblin_spearmen
shielded	grn_nightgoblin_spearmen
anti_large	grn_nightgoblin_spearmen
legendary	grn_black_orc_boss
terror	vmp_black_grail
lethal_poison	vmp_zombie_dragon
terror	vmp_zombie_dragon
scaly_skin	vmp_zombie_dragon
vigorous	vmp_blood_dragon
vigorous	vmp_black_grail
resilience	vmp_black_grail
frenzy	vmp_blood_dragon
melee_expert	vmp_blood_dragon
armoured_and_shielded	vmp_blood_dragon
legendary	vmp_black_grail
damage_dealer	vmp_zombie_dragon
legendary	wef_shadowdancer
spellcaster	wef_shadowdancer
melee_expert	wef_shadowdancer
wardance	wef_shadowdancer
anti_infantry	wef_eternal_sword
forest_stalker	wef_eternal_sword
armoured_and_shielded	wef_eternal_sword
armour_piercing	wef_wildwood_warden
vanguard_deployment	wef_wildwood_warden
anti_large	wef_wildwood_warden
master_ambusher	wef_wildwood_warden
melee_expert	wef_eternal_sword
living_saints	brt_tournament
legendary	brt_tournament
