campaign_difficulty_handicap_effects_tables
1
campaign_difficulty_handicap	human	effect	effect_scope	effect_value	optional_campaign_key
1	False	wh_main_effect_force_all_campaign_experience_base_all	faction_to_force_own	2	
2	False	wh_main_effect_force_all_campaign_experience_base_all	faction_to_force_own	3	
3	False	wh_main_effect_force_all_campaign_experience_base_all	faction_to_force_own	4	
-1	False	wh_main_faction_xp_increase_generals	faction_to_province_own	2	
0	False	wh_main_faction_xp_increase_generals	faction_to_province_own	3	
1	False	wh_main_faction_xp_increase_generals	faction_to_province_own	4	
2	False	wh_main_faction_xp_increase_generals	faction_to_province_own	5	
3	False	wh_main_faction_xp_increase_generals	faction_to_province_own	6	
-1	False	wh_main_faction_xp_increase_generals	faction_to_force_own_unseen	2	
0	False	wh_main_faction_xp_increase_generals	faction_to_force_own_unseen	3	
1	False	wh_main_faction_xp_increase_generals	faction_to_force_own_unseen	4	
2	False	wh_main_faction_xp_increase_generals	faction_to_force_own_unseen	5	
3	False	wh_main_faction_xp_increase_generals	faction_to_force_own_unseen	6	
-1	False	wh_main_effect_public_order_difficulty_level	faction_to_province_own	2	
-1	True	wh_main_effect_public_order_difficulty_level	faction_to_province_own	-1	
-2	True	wh_main_effect_public_order_difficulty_level	faction_to_province_own	-2	
-3	True	wh_main_effect_public_order_difficulty_level	faction_to_province_own	-3	
0	False	wh_main_effect_public_order_difficulty_level	faction_to_province_own	4	
0	True	wh_main_effect_public_order_difficulty_level	faction_to_province_own	0	
1	False	wh_main_effect_public_order_difficulty_level	faction_to_province_own	6	
1	True	wh_main_effect_public_order_difficulty_level	faction_to_province_own	1	
2	False	wh_main_effect_public_order_difficulty_level	faction_to_province_own	8	
3	False	wh_main_effect_public_order_difficulty_level	faction_to_province_own	10	
-1	False	wh_main_effect_building_construction_cost_mod	faction_to_region_own	-15	
0	False	wh_main_effect_building_construction_cost_mod	faction_to_region_own	-30	
1	False	wh_main_effect_building_construction_cost_mod	faction_to_region_own	-45	
