projectiles_tables
44
key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistence	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_vs_infantry	bonus_vs_cavalry	bonus_vs_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple	gravity	burst_size	burst_shot_delay	mass	homing_param	first_person_params	ignition_amount	is_magical	can_target_airborne	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_target	can_damage_vehicles
brt_crossbow	arrow	small_arm_default		none	1	dual_low_fixed	190	0	88	45	15	0	16	5	False	False	0.1	13.5	85	3.2	0	0	0	wh_brt_longbow_arrow		wh_bow_arrow_normal	-1	False		False	-1	1	0	6			0	False	True	45	very_low	300	False	False	False	False	1	False	False	False	False
dwf_grenade	arrow	explosives	dwf_grenade_explosion	grenade_spin	1	dual_low_fixed	150	7	88	35	35	0	10	2	False	False	0.05	12.2	100	10	0	0	0	wh_emp_grenade		wh_grenade	0.05	False		False	-1	1	0	10			1	False	False	55		-1	False	False	False	False	1	False	False	False	True
emp_general_pistol	musket	small_arm_default		none	1	low	65	0	45	110	50	0	90	150	False	False	0.05	4.8	90	1.8	0	0	0	wh_emp_rifle_bullet		wh_bullet	-1	False		False	-1	1	0	25			0	False	True	45	medium_magic	-1	False	False	False	False	1	False	False	False	False
emp_huntsmen	arrow	small_arm_default		none	1	dual_low_fixed	170	0	88	47	15	0	14	4	False	False	0.1	12.9	120	5.9	0	0	12	wh_brt_longbow_arrow		wh_bow_arrow_normal	-1	False		False	-1	1	0	4			0	False	True	45	very_low	300	False	False	False	False	1	False	False	False	False
emp_nuln_ironsides	musket	small_arm_default		none	1	low	160	0	88	100	25	0	12	13	False	False	0.05	3.6	85	2.4	0	0	0	wh_emp_rifle_bullet		wh_bullet	-1	False		False	-1	1	0	6			0	False	True	45	very_low	300	False	False	False	False	1	False	False	False	False
emp_witch_squad	arrow	small_arm_default		none	1	dual_low_fixed	175	0	88	56	35	0	53	34	False	False	0.12	6.2	85	1.7	0	0	18	wh_dlc05_wef_starfire_arrow		wh_crossbow_bolt_normal	-1	False		False	-1	1	0	15			0	True	True	45	medium_magic	300	False	False	False	False	1	False	False	False	False
wh_brt_arrow_horse	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45	15	0	18	5	False	False	0.1	12	85	2.6	0	0	0	wh_brt_longbow_arrow		wh_bow_arrow_normal	-1	False		False	-1	1	0	6			0	False	True	45	very_low	250	False	False	False	False	1	False	False	False	False
wh_brt_arrow_horse_pox	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45	10	0	19	6	False	False	0.1	12	85	2.6	0	0	0	wh_brt_longbow_arrow_pox		wh_bow_arrow_magical	-1	False	wh_main_unit_contact_poison	False	-1	1	0	6			0	False	True	45	very_low	300	False	False	False	False	1	False	False	False	False
wh_brt_longbow_arrow	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	45	10	0	11	4	False	False	0.1	13.8	85	3.4	0	0	0	wh_brt_longbow_arrow		wh_bow_arrow_normal	-1	False		False	-1	1	0	6			0	False	True	45	very_low	300	False	False	False	False	1	False	False	False	False
wh_brt_longbow_arrow_fire	arrow	small_arm_flaming		none	1	dual_low_fixed	177	0	88	45	10	0	21	1	False	False	0.1	15.6	85	3.8	0	0	0	wh_brt_longbow_arrow_fire		wh_bow_arrow_flaming	-1	False		False	-1	1	0	5			2	False	True	45	very_low	300	False	False	False	False	1	False	False	False	False
wh_brt_longbow_arrow_pox	arrow	small_arm_poison		none	1	dual_low_fixed	180	0	88	45	10	0	12	4	False	False	0.1	14.7	85	3.6	0	0	0	wh_brt_longbow_arrow_pox		wh_bow_arrow_magical	-1	False	wh_main_unit_contact_poison	False	-1	1	0	6			0	False	True	45	very_low	300	False	False	False	False	1	False	False	False	False
wh_brt_trebuchet_stone	artillery	artillery_default	wh_main_brt_trebuchet_stone_explosion	axe_spin	1	dual_low_fixed	455	50	60	70	10	0	80	160	False	False	0.2	14.4	300	65	0	0	40	wh_brt_trebuchet_stone		wh_catapult_rock_normal	0.5	True		False	-1	1	0	140			0	False	True	52	high	700	False	False	False	False	1	False	False	True	True
wh_chs_hellcannon_blast	artillery	artillery_default	wh_main_chs_hellcannon	none	1	low	425	30	60	55	40	0	150	235	False	False	0.2	12.6	275	20	0	0	0	wh_chs_hellcannon_blast	wh_main_unit_contact_overhead_morale	wh_hell_cannon_soul	1.3	True		False	5	1	0	200	wh_chs_hellcannon	hellcannon	0	True	True	45	low	700	False	False	False	True	1	False	False	True	True
wh_chs_javelin	javelin	small_arm_default		none	1	dual_low_fixed	80	0	75	40	10	0	16	8	False	False	0.1	18	40	2.4	0	0	0	wh_chs_javelin		wh_javelin	-1	False		False	-1	1	0	9			0	False	True	45	low	140	False	False	False	False	1	False	False	False	False
wh_chs_javelin_heavy	javelin	small_arm_default		none	1	dual_low_fixed	85	0	75	40	20	0	20	9	False	False	0.1	12	40	2.4	0	0	9	wh_chs_javelin		wh_javelin	-1	False		False	-1	1	0	15			0	False	True	50	low	150	False	False	False	False	1	False	False	False	False
wh_chs_throwing_axe	axe	small_arm_default		axe_spin	1	dual_low_fixed	65	0	60	32	10	0	5	20	False	False	0.12	15	40	2	0	0	0	wh_chs_throwing_axe		wh_throwing_axe	-1	False		False	-1	1	0	8			0	False	True	45	low	140	False	False	False	False	1	False	False	False	False
wh_dlc03_bst_centigor_throwing_axe	axe	small_arm_default		axe_spin	1	dual_low_fixed	70	0	60	32	10	0	20	24	False	False	0.12	15	30	3	0	0	0	wh_dlc03_bst_centigor_throwing_axe		wh_throwing_axe	-1	False		False	-1	1	0	20			0	False	True	45	low	140	False	False	False	False	1	False	False	False	False
