ancillary_to_effects_tables
0
ancillary	effect	effect_scope	value
wh2_main_anc_arcane_item_scroll_of_hoeth	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	7
wh2_main_anc_arcane_item_war_crown_of_saphery	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh2_main_anc_armour_armour_of_caledor	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	3
wh2_main_anc_armour_armour_of_caledor	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	12
wh2_main_anc_armour_armour_of_caledor	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	3
wh2_main_anc_armour_armour_of_eternal_servitude	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh2_main_anc_armour_armour_of_living_death	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh2_main_anc_armour_armour_of_midnight	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	12
wh2_main_anc_armour_boots_of_bracchus	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	7
wh2_main_anc_armour_chromatic_armour	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	6
wh2_main_anc_armour_cloak_of_hag_graef	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	18
wh2_main_anc_armour_crown_of_authority	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	3
wh2_main_anc_armour_dragon_armour_of_aenarion	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh2_main_anc_armour_dragon_armour_of_aenarion	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	15
wh2_main_anc_armour_dragon_armour_of_aenarion	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	6
wh2_main_anc_armour_dragonscale_shield	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	4
wh2_main_anc_armour_dragonscale_shield	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	6
wh2_main_anc_armour_enchanted_ithilmar_breastplate	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh2_main_anc_armour_helm_of_fortune	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	3
wh2_main_anc_armour_helm_of_khaine	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	5
wh2_main_anc_armour_hide_of_the_cold_ones	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	9
wh2_main_anc_armour_lions_pelt	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh2_main_anc_armour_shield_of_the_merwyrm	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	3
wh2_main_anc_armour_shield_of_the_mirrored_pool	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	6
wh2_main_anc_armour_shroud_of_death	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	7
wh2_main_anc_armour_skull_helmet	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	5
wh2_main_anc_armour_supreme_spellshield	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	12
wh2_main_anc_armour_warp_shard_armour	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh2_main_anc_armour_winged_boots	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	9
wh2_main_anc_enchanted_item_cloak_of_twilight	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	6
wh2_main_anc_enchanted_item_cloak_of_twilight	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	9
wh2_main_anc_enchanted_item_divine_plaque_of_protection	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	2
wh2_main_anc_enchanted_item_divine_plaque_of_protection	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	5
wh2_main_anc_enchanted_item_folariaths_robe	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	18
wh2_main_anc_enchanted_item_hand_of_gods	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	3
wh2_main_anc_enchanted_item_heart_of_avelorn	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	11
wh2_main_anc_enchanted_item_the_cloak_of_feathers	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	9
wh2_main_anc_talisman_amber_amulet	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	12
wh2_main_anc_talisman_amulet_of_fire	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	9
wh2_main_anc_talisman_amulet_of_fire	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	3
wh2_main_anc_talisman_amulet_of_foresight	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	3
wh2_main_anc_talisman_amulet_of_foresight	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	3
wh2_main_anc_talisman_crown_of_black_iron	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	3
wh2_main_anc_talisman_crown_of_black_iron	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	6
wh2_main_anc_talisman_deathmask	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	6
wh2_main_anc_talisman_diamond_guardian_phoenix	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	5
wh2_main_anc_talisman_emerald_collar	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh2_main_anc_talisman_foul_pendant	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh2_main_anc_talisman_glyph_necklace	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	5
wh2_main_anc_talisman_golden_crown_of_atrazar	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh2_main_anc_talisman_loremasters_cloak	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	9
wh2_main_anc_talisman_ring_of_darkness	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	10
wh2_main_anc_talisman_ring_of_hotek	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	12
wh2_main_anc_talisman_ruby_guardian_phoenix	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	12
wh2_main_anc_talisman_sapphire_guardian_phoenix	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	12
wh2_main_anc_talisman_talisman_of_saphery	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	6
wh2_main_anc_talisman_the_black_amulet	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	9
wh2_main_anc_talisman_the_black_amulet	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	3
wh2_main_anc_talisman_vambraces_of_defence	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	9
wh2_main_anc_weapon_sword_of_teclis	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	12
wh_dlc03_anc_armour_pelt_of_the_shadowgave	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	9
wh_dlc03_anc_armour_the_dark_mail	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	12
wh_dlc04_anc_talisman_jade_griffon	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	12
wh_dlc04_anc_talisman_the_carstein_ring	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	12
wh_dlc05_anc_follower_forest_spirit	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	3
wh_dlc05_anc_talisman_cloak_of_isha	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	6
wh_dlc06_anc_arcane_item_squiggly_beast	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	3
wh_dlc06_anc_armour_shield_of_defiance	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	9
wh_dlc06_anc_weapon_bonewood_staff	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	9
wh_dlc07_anc_armour_the_grail_shield	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_dlc07_anc_enchanted_item_holy_icon	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	9
wh_dlc07_anc_talisman_dragons_claw	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	12
wh_dlc07_anc_talisman_siriennes_locket	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	9
wh_main_anc_arcane_item_lucky_shrunken_head	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	9
wh_main_anc_arcane_item_skull_staff	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	12
wh_main_anc_armour_armour_of_destiny	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_main_anc_armour_armour_of_destiny	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	6
wh_main_anc_armour_armour_of_fortune	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	5
wh_main_anc_armour_armour_of_fortune	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	5
wh_main_anc_armour_armour_of_gork	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_main_anc_armour_armour_of_templehof	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_main_anc_armour_armour_of_templehof	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	6
wh_main_anc_armour_auric_armour	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_main_anc_armour_azhags_ard_armour	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	9
wh_main_anc_armour_blood-forged_armour	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	9
wh_main_anc_armour_dragonhelm	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	15
wh_main_anc_armour_gamblers_armour	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_main_anc_armour_magnificent_armour_of_borek_beetlebrow	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_main_anc_armour_shield_of_ptolos	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	18
wh_main_anc_armour_spellshield	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	9
wh_main_anc_armour_the_armour_of_meteoric_iron	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_main_anc_armour_the_armour_of_morkar	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_main_anc_armour_the_armour_of_skaldour	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	9
wh_main_anc_armour_the_lions_shield	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	12
wh_main_anc_armour_the_slayer_crown	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_main_anc_armour_tricksters_helm	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_main_anc_enchanted_item_cloak_of_molten_metal	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	6
wh_main_anc_enchanted_item_cloak_of_molten_metal	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	9
wh_main_anc_enchanted_item_ironcurse_icon	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	6
wh_main_anc_talisman_amulet_of_sea_gold	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	12
wh_main_anc_talisman_dawnstone	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	9
wh_main_anc_talisman_dragon_cloak_of_fyrskar	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	12
wh_main_anc_talisman_dragon_cloak_of_fyrskar	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	12
wh_main_anc_talisman_dragonbane_gem	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	18
wh_main_anc_talisman_luckstone	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	6
wh_main_anc_talisman_obsidian_amulet	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	9
wh_main_anc_talisman_obsidian_lodestone	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	12
wh_main_anc_talisman_obsidian_trinket	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	6
wh_main_anc_talisman_talisman_of_endurance	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	9
wh_main_anc_talisman_talisman_of_preservation	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	12
wh_main_anc_talisman_talisman_of_protection	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_main_anc_talisman_the_dragon_crown_of_karaz	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	6
wh_main_anc_talisman_the_eye_of_sheerian	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	15
wh_main_anc_talisman_the_silver_seal	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	12
wh_main_anc_talisman_the_silver_seal	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	9
wh_pro01_anc_armour_armour_of_glimril_scales	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh_pro01_anc_armour_armour_of_glimril_scales	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	6
wh_pro01_anc_enchanted_item_rune_helm_of_zhufbar	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	3
wh_pro01_anc_talisman_cloak_of_valaya	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	15
wh_pro01_anc_talisman_cloak_of_valaya	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	3
wh_pro02_anc_enchanted_item_blood_chalice_of_bathori	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
