audio_explosions_tables
6
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7
	none	0	0	False			
Battle_Individual_Projectile_Death_Globe_Explosion	wh2_globe_death	600	0	True			large_explosion_short
Battle_Individual_Projectile_Globe_Explosion	wh2_globe_magical	600	0	True			large_explosion_short
Battle_Individual_Projectile_Globe_Explosion	wh2_globe_poison	600	0	True			large_explosion_short
Battle_IND_Magic_Bloodwrack_Cauldron_Impact	wh2_main_ability_bloodwrack_cauldron	700	0	True			large_explosion_long
Battle_IND_Magic_Brazen_Cauldron_Impact	wh2_main_ability_brazen_cauldron	700	0	True			large_explosion_long
Battle_IND_Magic_Sky_Cauldron_Impact	wh2_main_ability_sky_cauldron	700	0	True			large_explosion_long
Battle_IND_Magic_Soul_Rain_Impact	wh2_main_ability_soul_rain	600	0	True			large_explosion_short
Battle_IND_Magic_Soul_Storm_Impact	wh2_main_ability_soul_storm	600	0	True			large_explosion_short
Battle_IND_Magic_Soul_Torrent_Impact	wh2_main_ability_soul_torrent	600	0	True			large_explosion_short
Battle_IND_Magic_Ability_Vauls_Hammer_Impact	wh2_main_ability_vauls_hammer	500	0	False			magic_global_mute_one_shot_long
Battle_IND_Magic_Vortic_Blast_Explosion	wh2_main_ability_vortic_blast	3000	0	True			large_explosion_short
Battle_IND_Magic_Vortic_Enrichment_Explosion	wh2_main_ability_vortic_enrichment	3000	0	True			large_explosion_short
	wh2_main_spell_high_magic_soul_quench	500	0	False			large_explosion_long
Battle_Individual_Projectile_Plagueclaw_Catapult_Explosion	wh2_plagueclaw_catapult	800	0	True			large_explosion_short
Battle_Individual_Projectile_Terradon_Bomb_Explosion	wh2_terradon_bomb	3000	0	True			large_explosion_short
	wh_blasting_charge	400	0	True	wh_grp_projectile_blasting_charge_explosion		
Battle_Individual_Projectile_Bomb_Explosion	wh_bomb	3000	0	True			large_explosion_short
Battle_Individual_Projectile_Carcass_Explosion	wh_carcass	300	0	False			large_explosion_long
Battle_IND_Magic_Heavens_Comet_Impact	wh_comet_of_cas	700	0	True			large_explosion_long
Battle_Individual_Projectile_Steamgun_Explosion	wh_copter_steamgun	3000	0	True			large_explosion_long
Battle_IND_Magic_Bretonnia_Chalice_of_Potions_Impact	wh_dlc07_ability_chalice_of_potions	700	0	True			
	wh_fireball	85	0	False			
Battle_Individual_Projectile_Bomb_Explosion	wh_generic_large	600	0	True			large_explosion_short
Battle_Individual_Projectile_Grenade_Explosion	wh_generic_small	600	0	True			large_explosion_short
Battle_Individual_Projectile_Grenade_Explosion	wh_grenade	600	0	True			large_explosion_short
Battle_Individual_Projectile_Mortar_Explosion	wh_large_rock	600	0	True			large_explosion_short
Battle_IND_Magic_Ability_Lord_of_the_Storm_Impacts	wh_lord_of_the_storm	700	0	True			
Battle_IND_Magic_Dark_Doombolt_Impact	wh_main_spell_dark_magic_doombolt	500	0	True			large_explosion_long
Battle_Individual_Magic_Fireball_Impact	wh_main_spell_fire_fireball	500	0	True			large_explosion_long
Battle_IND_Magic_Ruin_Warp_Lightning_Impact	wh_main_spell_ruin_warp_lightning	500	0	True			large_explosion_long
	wh_main_spell_vampires_gaze_of_nagash	100	0	False	wh_grp_spell_vampires_gaze_of_nagash_impact		large_explosion_long
Battle_Individual_Projectile_Mortar_Explosion	wh_mortar	600	0	True			large_explosion_short
Battle_Individual_Projectile_Rocket_Explosion	wh_rocket	600	0	True			large_explosion_long
Battle_Individual_Projectile_Soul_Explosion	wh_soul	400	0	True			large_explosion_long
	wh_troll_hammer	100	0	False			
Battle_IND_Magic_Heavens_Urannons_Thunderbolt_Impact	wh_urannons_thunderbolt	700	0	True			large_explosion_long
