ancillary_to_effects_tables
0
ancillary	effect	effect_scope	value
wh2_main_anc_arcane_item_black_staff	wh2_main_effect_ability_enable_black_staff	character_to_character_own	1
wh2_main_anc_arcane_item_book_of_hoeth	wh2_main_effect_ability_enable_book_of_hoeth	character_to_character_own	1
wh2_main_anc_arcane_item_book_of_hoeth	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	10
wh2_main_anc_arcane_item_circlet_of_iron	wh2_main_effect_ability_enable_circlet_of_iron	character_to_character_own	1
wh2_main_anc_arcane_item_circlet_of_iron	wh2_main_effect_magic_dark_reduce_wom_cost_power_of_darkness	character_to_character_own	-2
wh2_main_anc_arcane_item_circlet_of_iron	wh2_main_effect_magic_mod_amount_of_uses_power_of_darkness	character_to_character_own	2
wh2_main_anc_arcane_item_circlet_of_iron	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	5
wh2_main_anc_arcane_item_circlet_of_iron	wh_main_effect_character_stat_mod_armour	character_to_character_own	5
wh2_main_anc_arcane_item_circlet_of_iron	wh_main_effect_military_force_winds_of_magic_depletion_mod_agent_actions	character_to_force_own_unseen	10
wh2_main_anc_arcane_item_circlet_of_iron	wh_main_effect_religion_conversion_untainted	character_to_character_own_provincetext	5
wh2_main_anc_arcane_item_cube_of_darkness	wh2_main_effect_ability_enable_cube_of_darkness	character_to_character_own	1
wh2_main_anc_arcane_item_cupped_hands_of_the_old_ones	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	-50
wh2_main_anc_arcane_item_cupped_hands_of_the_old_ones	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	5
wh2_main_anc_arcane_item_darkstar_cloak	wh2_main_effect_ability_enable_darkstar_cloak	character_to_character_own	1
wh2_main_anc_arcane_item_diadem_of_power	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	6
wh2_main_anc_arcane_item_diadem_of_power	wh_main_effect_military_force_winds_of_magic_depletion_mod_items_enemy	general_to_force_enemy_regionwide	-5
wh2_main_anc_arcane_item_itxi_grubs	wh2_main_effect_battle_magic_all_cooldown_rate	character_to_character_own	-10
wh2_main_anc_arcane_item_jewel_of_the_dusk	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	10
wh2_main_anc_arcane_item_moon_staff_of_lileath	wh2_main_effect_magic_life_reduce_wom_regrowth	character_to_character_own	-3
wh2_main_anc_arcane_item_moon_staff_of_lileath	wh2_main_effect_magic_life_reduce_wom_regrowth_upgraded	character_to_character_own	-3
wh2_main_anc_arcane_item_moon_staff_of_lileath	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	-20
wh2_main_anc_arcane_item_moon_staff_of_lileath	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	18
wh2_main_anc_arcane_item_plaque_of_dominion	wh2_main_effect_ability_enable_plaque_of_dominion	character_to_character_own	1
wh2_main_anc_arcane_item_plaque_of_dominion	wh_main_effect_religion_conversion_untainted	character_to_character_own_provincetext	5
wh2_main_anc_arcane_item_plaque_of_dominion	wh_main_effect_technology_research_points	character_to_faction	5
wh2_main_anc_arcane_item_rod_of_the_storm	wh2_main_effect_ability_enable_rod_of_the_storm	character_to_character_own	1
wh2_main_anc_arcane_item_scroll_of_hoeth	wh2_main_effect_ability_enable_scroll_of_hoeth	character_to_character_own	1
wh2_main_anc_arcane_item_scroll_of_hoeth	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	12
wh2_main_anc_arcane_item_scrying_stone	wh2_main_effect_ability_enable_scrying_stone	character_to_character_own	1
wh2_main_anc_arcane_item_scrying_stone	wh_main_effect_force_army_campaign_ambush_attack_success_chance	general_to_force_own	5
wh2_main_anc_arcane_item_staff_of_solidity	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	-50
wh2_main_anc_arcane_item_starwood_staff	wh2_main_effect_ability_enable_starwood_staff	character_to_character_own	1
wh2_main_anc_arcane_item_the_gem_of_sunfire	wh2_main_effect_ability_enable_the_gem_of_sunfire	character_to_character_own	1
wh2_main_anc_arcane_item_the_liber_bubonicus	wh2_main_effect_ability_enable_the_liber_bubonicus	character_to_character_own	1
wh2_main_anc_arcane_item_the_liber_bubonicus	wh2_main_effect_agent_recruitment_xp_skv_plague_priest	character_to_province_own_factionwide	4
wh2_main_anc_arcane_item_the_liber_bubonicus	wh2_main_effect_magic_plague_reduce_wom_cost_plague	character_to_character_own	-2
wh2_main_anc_arcane_item_the_liber_bubonicus	wh2_main_effect_magic_plague_reduce_wom_cost_plague_upgraded	character_to_character_own	-2
wh2_main_anc_arcane_item_the_liber_bubonicus	wh2_main_faction_trait_ritual_cost_skrolk	character_to_faction_unseen	-25
wh2_main_anc_arcane_item_the_liber_bubonicus	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	10
wh2_main_anc_arcane_item_the_liber_bubonicus	wh_main_effect_religion_conversion_skaven	character_to_character_own_provincetext	3
wh2_main_anc_arcane_item_the_seerstaff_of_saphery	wh2_main_effect_ability_enable_the_seerstaff_of_saphery	character_to_character_own	1
wh2_main_anc_arcane_item_the_tricksters_pendant	wh2_main_effect_ability_enable_the_tricksters_pendant	character_to_character_own	1
wh2_main_anc_arcane_item_the_vortex_shard	wh2_main_effect_ability_enable_the_vortex_shard	character_to_character_own	1
wh2_main_anc_arcane_item_tome_of_furion	wh2_main_effect_ability_enable_tome_of_furion	character_to_character_own	1
wh2_main_anc_arcane_item_wand_of_the_kharaidon	wh2_main_effect_ability_enable_wand_of_the_kharaidon	character_to_character_own	1
wh2_main_anc_arcane_item_wand_of_the_kharaidon	wh2_main_effect_battle_magic_all_cooldown_rate	character_to_character_own	-15
wh2_main_anc_arcane_item_wand_of_the_kharaidon	wh2_main_effect_magic_dark_reduce_wom_cost_soulstealer	character_to_character_own	-2
wh2_main_anc_arcane_item_wand_of_the_kharaidon	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	5
wh2_main_anc_arcane_item_wand_of_the_kharaidon	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	10
wh2_main_anc_arcane_item_war_crown_of_saphery	wh2_main_effect_agent_cap_increase_hef_mage	character_to_faction_unseen	1
wh2_main_anc_arcane_item_war_crown_of_saphery	wh2_main_effect_agent_enable_recruitment_wizard_hef	faction_to_province_own	1
wh2_main_anc_arcane_item_war_crown_of_saphery	wh2_main_effect_agent_recruitment_xp_hef_mage	character_to_province_own_factionwide	2
wh2_main_anc_arcane_item_war_crown_of_saphery	wh2_main_effect_battle_magic_all_cooldown_rate	character_to_character_own	-30
wh2_main_anc_arcane_item_war_crown_of_saphery	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	10
wh2_main_anc_arcane_item_war_crown_of_saphery	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	18
wh2_main_anc_arcane_item_warp_energy_condenser	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	8
wh2_main_anc_arcane_item_warpstone_tokens	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	10
wh2_main_anc_arcane_item_warpstone_tokens	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	6
wh2_main_anc_arcane_item_warpstorm_scroll	wh2_main_effect_ability_enable_warpstorm_scroll	character_to_character_own	1
wh2_main_anc_armour_armour_of_caledor	wh_main_effect_character_stat_mod_armour	character_to_character_own	12
wh2_main_anc_armour_armour_of_caledor	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	5
wh2_main_anc_armour_armour_of_caledor	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	20
wh2_main_anc_armour_armour_of_caledor	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	5
wh2_main_anc_armour_armour_of_darkness	wh_main_effect_character_stat_mod_armour	character_to_character_own	8
wh2_main_anc_armour_armour_of_darkness	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	2
wh2_main_anc_armour_armour_of_eternal_servitude	wh2_main_effect_ability_enable_regeneration	character_to_character_own	1
wh2_main_anc_armour_armour_of_eternal_servitude	wh_main_effect_character_stat_mod_armour	character_to_character_own	5
wh2_main_anc_armour_armour_of_eternal_servitude	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	10
wh2_main_anc_armour_armour_of_living_death	wh_main_effect_ability_enable_the_hunger	character_to_character_own	1
wh2_main_anc_armour_armour_of_living_death	wh_main_effect_character_stat_mod_armour	character_to_character_own	6
wh2_main_anc_armour_armour_of_living_death	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	6
wh2_main_anc_armour_armour_of_living_death	wh_main_effect_character_stat_mod_morale	character_to_character_own	-5
wh2_main_anc_armour_armour_of_living_death	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	10
