famous_battle_pools_tables
1
pool_id	pool_posx	pool_posy	pool_radius	battle_name	unknown5
1	423	290	7	Battle of Black Fire Pass	main_warhammer
10	317	221	15	Battle of Glacial Lake	main_warhammer
11	399	493	15	Battle at the Golden Monolith	main_warhammer
12	452	356	15	Battle of Hel Fenn	main_warhammer
13	505	448	15	Battle of High Pass	main_warhammer
14	298	306	15	Battle at La Maisontaal Abbey	main_warhammer
15	402	347	15	Battle of Leitziger Ford	main_warhammer
16	315	366	15	Battle at Marbad's Tomb	main_warhammer
17	498	524	15	Battle of the Northen Chaos Wastes	main_warhammer
18	455	135	15	Battle at the Pillar of Bone	main_warhammer
19	414	351	15	Battle at the Shrine of Ill Omen	main_warhammer
2	329	396	15	Battle at the Ancient Dragon Cave	main_warhammer
20	523	487	15	Battle of the Southern Chaos Wastes	main_warhammer
21	424	474	15	Battle of Troll Country	main_warhammer
22	323	440	5	The Threat from the North	main_warhammer
23	521	459	15	Battle of Todtheim	main_warhammer
3	401	116	15	Battle at the Barrier Idols	main_warhammer
4	344	353	5	Battle of Bloodpine Woods	main_warhammer
5	489	366	15	Battle of Broken Leg Gully	main_warhammer
6	295	235	7	Battle at the Burial Ground of Grudsnik da Magnificent	main_warhammer
7	512	507	15	Battle of the Central Chaos Wastes	main_warhammer
8	489	537	15	Battle at the Cliff of Beasts	main_warhammer
9	240	191	15	Battle at the Estalian Tomb	main_warhammer
