cai_variables_tables
0
key	value	description
CAI_VARIABLE_AGGR_RAMP_CHANCE_BASE	10	(In-game) Base chance per round that an eligible faction will be selected for aggression increase. Base Chance + (Rounds Played * Per Round Chance).
CAI_VARIABLE_AGGR_RAMP_CHANCE_PER_ROUND	0	(In-game) Additional per round chance that an eligible faction will be selected for aggression increase. Base Chance + (Rounds Played * Per Round Chance).
CAI_VARIABLE_AGGR_RAMP_ENABLED	0	(In-game) Whether the aggression ramp is enable. 0=no, 1=yes
CAI_VARIABLE_AGGR_RAMP_FAME_MAX	100	(In-game) Player fame level at which the ramp ends and the maximum level of aggression will be applied.
CAI_VARIABLE_AGGR_RAMP_FAME_MIN	20	(In-game) Player fame level beyond which the aggression ramp will start to apply.
CAI_VARIABLE_AGGR_RAMP_LEVEL_MAX	5	(In-game) The ending level for the aggression ramp to use. 1-6. Should be equal to or greater than the minimum level selected. 1=LOW, 2=LOW_TO_MEDIUM, 3=MEDIUM, 4=MEDIUM_TO_HIGH, 5=HIGH, 6=VERY HIGH.
CAI_VARIABLE_AGGR_RAMP_LEVEL_MIN	1	(In-game) The starting level for the aggression ramp to use. 1-6. 1=LOW, 2=LOW_TO_MEDIUM, 3=MEDIUM, 4=MEDIUM_TO_HIGH, 5=HIGH, 6=VERY HIGH.
CAI_VARIABLE_AGGR_RAMP_ROUNDS_MAX	100	(In-game) Round at which the ramp should finish (and max level be used for aggression increases).
CAI_VARIABLE_AGGR_RAMP_ROUNDS_MIN	20	(In-game) Round beyond which the aggression ramp will start (beginning with the minimum aggression level).
CAI_VARIABLE_ATTACK_ALL_ENEMY_SETTLEMENTS_IF_FACTION_HASNT_EXPANDED_FOR_ROUNDS	5	(In-game) If faction has not gained any region for this many rounds, attack tasks for all settlements is generated.
CAI_VARIABLE_ATTACK_ALL_ENEMY_SETTLEMENTS_IF_FACTION_HASNT_EXPANDED_MAX_PRIORITY_IN_ROUNDS	20	(In-game) The priority of the attack if havent expanded task goes to maximum if we havent captured territory for CAI_VARIABLE_ATTACK_ALL_ENEMY_SETTLEMENTS_IF_FACTION_HASNT_EXPANDED_FOR_ROUNDS+CAI_VARIABLE_ATTACK_ALL_ENEMY_SETTLEMENTS_IF_FACTION_HASNT_EXPANDED_MAX_PRIORITY_IN_ROUNDS
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_BEGIN_AND_BEFORE_MULTIPLIER	0	(In-game) In generating tasks versus human horde armies the starting priority used.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_BEGIN_ROUND	1	(In-game) In generating tasks versus human horde armies the round at which to start applying a priority variation.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_CLOSEST_ROUNDS_DISTANCE	1	(In-game) Multiplier applied to attack human horde armies tasks based on distance to nearest asset, lower distance bound.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_CLOSEST_ROUNDS_DISTANCE_AND_NEARER_MULTIPLIER	1.25	(In-game) Multiplier applied to attack human horde armies tasks based on distance to nearest asset, lower distance priority multiplier.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_END_AND_AFTER_MULTIPLIER	1.75	(In-game) In generating tasks versus human horde armies the ending priority used.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_END_ROUND	100	(In-game) In generating tasks versus human horde armies the round at which to end applying a priority variation.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_FURTHEST_ROUNDS_DISTANCE	4	(In-game) Multiplier applied to attack human horde armies tasks based on distance to nearest asset, upper distance bound.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_FURTHEST_ROUNDS_DISTANCE_AND_FURTHER_MULTIPLIER	0	(In-game) Multiplier applied to attack human horde armies tasks based on distance to nearest asset, upper distance priority multiplier.
CAI_VARIABLE_ATTACK_NONHUMAN_HORDE_CONTROL_CLOSEST_ROUNDS_DISTANCE	1	(In-game) Multiplier applied to attack non-human horde armies tasks based on distance to nearest asset, lower distance bound.
CAI_VARIABLE_ATTACK_NONHUMAN_HORDE_CONTROL_CLOSEST_ROUNDS_DISTANCE_AND_NEARER_MULTIPLIER	1.25	(In-game) Multiplier applied to attack non- human horde armies tasks based on distance to nearest asset, lower distance priority multiplier.
CAI_VARIABLE_ATTACK_NONHUMAN_HORDE_CONTROL_FURTHEST_ROUNDS_DISTANCE	4	(In-game) Multiplier applied to attack non-human horde armies tasks based on distance to nearest asset, upper distance bound.
CAI_VARIABLE_ATTACK_NONHUMAN_HORDE_CONTROL_FURTHEST_ROUNDS_DISTANCE_AND_FURTHER_MULTIPLIER	0	(In-game) Multiplier applied to attack non-human horde armies tasks based on distance to nearest asset, upper distance priority multiplier.
CAI_VARIABLE_BASIC_CTRL_BUILDING_CONVERSION_BONUS	20	(In-game) Bonus applied to scoring of cultural conversion options in the construction system.
CAI_VARIABLE_BASIC_CTRL_BUILDING_DEMOLITION_BONUS	60	(In-game) Bonus applied to scoring of demolition options in the construction system.
CAI_VARIABLE_BASIC_CTRL_BUILDING_REPAIR_BONUS	60	(In-game) Bonus applied to scoring of repair options in the construction system.
CAI_VARIABLE_BLACK_ARK_SUPPORT_STRENGTH	0	(In-game) Strenght bonus from black ark support
CAI_VARIABLE_CLIMATE_CHANGE_IMMINENT_CONSTRUCTION_SYSTEM_FOOD_CONTROL_MULTIPLIER	2	(In-game) Multiplier applied to region count values if climate change mitigation is in effect (CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_BONUS_AT_OR_BELOW_REGION_ADJUSTMENT, CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_PENALTY_BELOW_REGION_ADJUSTMENT).
CAI_VARIABLE_CLIMATE_CHANGE_IMMINENT_WITHIN	10	(In-game) Rounds from expected climate change that AI's will start to take mitigating action.
CAI_VARIABLE_CNSTR_PRIORITY_OVER_COST_MODIFICATION	0.1	(In-game) When considering the importance of buildings for a specific context how much should value for money count versus raw priority (0.0, not a bit to 1.0, entirely).
CAI_VARIABLE_CONSIDER_MAJOR_OVER_REGIONS	3	(In-game) In Gempei targetting and diplomatic adjustments the number of regions a minor faction must own before being considered major.
CAI_VARIABLE_CONSTRUCTION_SYSTEM_VALUE_FOR_MONEY_CONSIDERATION_MULTIPLIER	1	(In-game) Within the AI construction system the proportion of value for money evaluation that should be applied.
CAI_VARIABLE_CONSTRUCTION_SYSTEM_VALUE_FOR_MONEY_CONSIDERATION_TARGET	1000	(In-game) In the construction system the target value used when adjusting a buildings evaluation due to value of money effects.
CAI_VARIABLE_COORDINATOR_MAJOR_FACTION_STRENGTH_BONUS	1.15	(In-game) Multiplier for strength of major factions.
CAI_VARIABLE_DEFEND_LOCATION_RITUAL_CURRENCY_THRESHOLD	0.95	(In-game) 
CAI_VARIABLE_DILEMMA_BONUS_LARGE	20	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_LARGE_FALLOFF	10	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_MEDIUM	10	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_MEDIUM_FALLOFF	10	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_SMALL	5	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_SMALL_FALLOFF	10	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XLARGE	15	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XLARGE_FALLOFF	30	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XXLARGE	20	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XXLARGE_FALLOFF	30	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XXXLARGE	25	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_BONUS_XXXLARGE_FALLOFF	30	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_LARGE	-20	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_LARGE_FALLOFF	10	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_MEDIUM	-10	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_MEDIUM_FALLOFF	10	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_SMALL	-5	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_SMALL_FALLOFF	10	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XLARGE	-30	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XLARGE_FALLOFF	10	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XXLARGE	-40	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XXLARGE_FALLOFF	10	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XXXLARGE	-50	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DILEMMA_PENALTY_XXXLARGE_FALLOFF	10	(In-game) Controls for diplomatic effects of some dilemmas.
CAI_VARIABLE_DIPLOMACY_DISTANCE_GOAL_PRIORITY_MODIFIER	0.75	(In-game) Distance-based modifier for diplomatic goals.
CAI_VARIABLE_DO_NOT_ENABLE	0	(In-game) Set it to 1 if you dare. DO NOT SET IT ANY HIGHER!!!
CAI_VARIABLE_EMERGENCY_UNIT_CULL_COST_WEIGHT	2	(In-game) Weight of cost in the emergency unit culling mechanics.
CAI_VARIABLE_EMERGENCY_UNIT_CULL_FORCE_PERCENTAGE_TO_CULL	20	(In-game) In using the emergency unit culling mechanics what percentage of elligable units should be disbanded to mitigate the problem.
CAI_VARIABLE_EMERGENCY_UNIT_CULL_PRIORITY_WEIGHT	1	(In-game) Weight of task priority in the emergency unit culling mechanics.
CAI_VARIABLE_EMERGENCY_UNIT_CULL_REPLENISHMENT_WEIGHT	2	(In-game) Weight of current replenishment in the emergency unit culling mechanics.
CAI_VARIABLE_EMERGENCY_UNIT_CULL_TIME_WINDOW_MULTIPLIER	1	(In-game) In making use of the emergency unit culling mechanics what multiplier should be allied to the factions corresponding zero_or_negative_net_income_survival_rounds value.
CAI_VARIABLE_FACTION_MANAGEMENT	0	(In-game) Enables CAI faction controller management.
CAI_VARIABLE_FACTION_MANAGEMENT_THRESHOLD	0	(In-game) Specifies the CAI faction controller management threshold.
CAI_VARIABLE_FINANCE_CONST_BIAS_EASY_LEVEL	4	(In-game) CAI Budgeting bias, easy difficulty, levels to apply at.
CAI_VARIABLE_FINANCE_CONST_BIAS_EASY_TURNS	12	(In-game) CAI Budgeting bias,easy difficulty, rounds to apply for.
CAI_VARIABLE_FINANCE_CONST_BIAS_HARD_LEVEL	2	(In-game) CAI Budgeting bias, hard difficulty, levels to apply at.
CAI_VARIABLE_FINANCE_CONST_BIAS_HARD_TURNS	3	(In-game) CAI Budgeting bias, hard difficulty, rounds to apply for.
CAI_VARIABLE_FINANCE_CONST_BIAS_LEGENDARY_LEVEL	1	(In-game) CAI Budgeting bias, legendary difficulty, levels to apply at.
