variants_tables
5
variant_name	tech_folder	variant_file_name	low_poly_filename	mount_scale	scale	scale_variation
campaign_brt_ship_agent		campaign_brt_ship_agent		1	0.5	0
campaign_brt_ship_heavy		campaign_brt_ship_heavy		1	0.8	0
campaign_brt_ship_light		campaign_brt_ship_light		1	0.7	0
campaign_brt_ship_transport		campaign_brt_ship_transport		1	0.5	0
campaign_bst_ship_agent		campaign_bst_ship_agent		1	0.5	0
campaign_bst_ship_heavy		campaign_bst_ship_heavy		1	0.75	0
campaign_bst_ship_light		campaign_bst_ship_light		1	1	0
campaign_bst_ship_transport		campaign_bst_ship_transport		1	0.5	0
campaign_chs_ship_agent		campaign_chs_ship_agent		1	0.5	0
campaign_chs_ship_heavy		campaign_chs_ship_heavy		1	0.75	0
campaign_chs_ship_light		campaign_chs_ship_light		1	0.6	0
campaign_chs_ship_transport		campaign_chs_ship_transport		1	0.5	0
campaign_dwf_ship_agent		campaign_dwf_ship_agent		1	0.5	0
campaign_dwf_ship_heavy		campaign_dwf_ship_heavy		1	0.8	0
campaign_dwf_ship_light		campaign_dwf_ship_light		1	0.7	0
campaign_dwf_ship_transport		campaign_dwf_ship_transport		1	0.5	0
campaign_emp_ship_agent		campaign_emp_ship_agent		1	0.5	0
campaign_emp_ship_heavy		campaign_emp_ship_heavy		1	0.75	0
campaign_emp_ship_light		campaign_emp_ship_light		1	0.7	0
campaign_emp_ship_transport		campaign_emp_ship_transport		1	0.5	0
campaign_grn_ship_agent		campaign_grn_ship_agent		1	0.5	0
campaign_grn_ship_heavy		campaign_grn_ship_heavy		1	0.8	0
campaign_grn_ship_light		campaign_grn_ship_light		1	0.7	0
campaign_grn_ship_transport		campaign_grn_ship_transport		1	0.5	0
campaign_vmp_ship_agent		campaign_vmp_ship_agent		1	0.5	0
campaign_vmp_ship_heavy		campaign_vmp_ship_heavy		1	0.75	0
campaign_vmp_ship_light		campaign_vmp_ship_light		1	0.7	0
campaign_vmp_ship_transport		campaign_vmp_ship_transport		1	0.5	0
campaign_wef_ship_agent		campaign_wef_ship_agent		1	0.6	0
campaign_wef_ship_transport		campaign_wef_ship_transport		1	0.75	0
dummy_variant		dummy_variant		1	1	0
grn_goblin_artillery_crew_sword		grn_goblin_artillery_crew_sword	hu5\grn\grn_goblin\low_poly\grn_goblin_archer_lowlod	1	1	0.05
wh2_main_campaign_def_ship_agent		campaign_def_ship_agent		1	0.55	0
wh2_main_campaign_hef_ship_agent		campaign_hef_ship_agent		1	0.6	0
wh2_main_campaign_hef_ship_transport		campaign_hef_ship_transport		1	0.5	0
wh2_main_campaign_lzd_ship_agent		campaign_lzd_ship_agent		1	0.55	0
wh2_main_campaign_lzd_ship_transport		campaign_lzd_ship_transport		1	0.5	0
wh2_main_campaign_skv_ship_agent		campaign_skv_agent_ship		1	0.5	0
wh2_main_campaign_skv_ship_transport		campaign_skv_transport_ship		1	0.5	0
wh2_main_def_assassin		def_assassin	hu1d\def\def_warriors\imposter\def_warriors_imposter	1	1.15	0.05
wh2_main_def_assassin_campaign_01		def_assassin_campaign_01	hu1d\def\def_warriors\imposter\def_warriors_imposter	1	1.15	0.05
wh2_main_def_assassin_campaign_02		def_assassin_campaign_02	hu1d\def\def_warriors\imposter\def_warriors_imposter	1	1.15	0.05
wh2_main_def_assassin_campaign_03		def_assassin_campaign_03	hu1d\def\def_warriors\imposter\def_warriors_imposter	1	1.15	0.05
wh2_main_def_assassin_campaign_04		def_assassin_campaign_04	hu1d\def\def_warriors\imposter\def_warriors_imposter	1	1.15	0.05
wh2_main_def_black_ark		campaign_def_ship_black_ark		1	0.6	0
wh2_main_def_black_dragon_seraphon	VariantMeshes\wh_variantmodels\dr1\def\def_black_dragon\tech	def_seraphon		1	1	0
