naval_units_tables
18
campaign_action_points	category	class	unknown4	key	ship	short_description_text	strengths_weaknesses_text	unit_type_icon	attribute_groups	primary_naval_weapon	secondary_naval_weapon	rank_depth	supports_first_person	can_board	unit_card	is_composite	ignition_threshold
4500	light_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_brt_shp_buccaneer	wh_main_ship_light_dummy	placeholder	placeholder					1	False	True	default.png	True	500
4000	medium_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_brt_shp_corsair	wh_main_ship_medium_dummy	placeholder	placeholder					1	False	True	default.png	True	500
3750	heavy_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_brt_shp_galleon	wh_main_ship_heavy_dummy	placeholder	placeholder					1	False	True	default.png	True	500
3750	heavy_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_chs_shp_bloodship	wh_main_ship_heavy_dummy	placeholder	placeholder					1	False	True	default.png	True	500
4500	light_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_chs_shp_deathgalley	wh_main_ship_light_dummy	placeholder	placeholder					1	False	True	default.png	True	500
4000	medium_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_chs_shp_norscan_longship	wh_main_ship_medium_dummy	placeholder	placeholder					1	False	True	default.png	True	500
3750	heavy_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_dwf_shp_dreadnaught	wh_main_ship_heavy_dummy	placeholder	placeholder					1	False	True	default.png	True	500
4000	medium_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_dwf_shp_ironclad	wh_main_ship_medium_dummy	placeholder	placeholder					1	False	True	default.png	True	500
4500	light_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_dwf_shp_monitor	wh_main_ship_light_dummy	placeholder	placeholder					1	False	True	default.png	True	500
3750	heavy_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_emp_shp_greatship	wh_main_ship_heavy_dummy	placeholder	placeholder					1	False	True	default.png	True	500
4500	light_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_emp_shp_wargalley	wh_main_ship_light_dummy	placeholder	placeholder					1	False	True	default.png	True	500
4000	medium_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_emp_shp_wolfship	wh_main_ship_medium_dummy	placeholder	placeholder					1	False	True	default.png	True	500
4000	medium_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_grn_shp_bigchukka	wh_main_ship_medium_dummy	placeholder	placeholder					1	False	True	default.png	True	500
4500	light_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_grn_shp_drillakilla	wh_main_ship_light_dummy	placeholder	placeholder					1	False	True	default.png	True	500
3750	heavy_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_grn_shp_hulk	wh_main_ship_heavy_dummy	placeholder	placeholder					1	False	True	default.png	True	500
3000	light_ship	shp_trn	wh_main_unit_long_text_grn_grimgor	wh_main_shp_transport	wh_main_ship_transport_dummy	placeholder	placeholder					1	False	True	default.png	True	500
4000	medium_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_vmp_shp_direwolf_ship	wh_main_ship_medium_dummy	placeholder	placeholder					1	False	True	default.png	True	500
3750	heavy_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_vmp_shp_griefship	wh_main_ship_heavy_dummy	placeholder	placeholder					1	False	True	default.png	True	500
4500	light_ship	shp_mel	wh_main_unit_long_text_grn_grimgor	wh_main_vmp_shp_vargalley	wh_main_ship_light_dummy	placeholder	placeholder					1	False	True	default.png	True	500
