cultures_tables
6
key	index	unknown2	unknown3	unknown4	unknown5	unknown6
*	1249291667	0	False			False
wh2_main_def_dark_elves	1249291648	0	False	UI/skins/default/panorama_dark_elves.png	Dark_Elves	False
wh2_main_hef_high_elves	1249291643	0	False	UI/skins/default/panorama_high_elves.png	High_Elves	False
wh2_main_lzd_lizardmen	1249291627	0	False	UI/skins/default/panorama_lizardmen.png	Lizardmen	False
wh2_main_rogue	1994735833	0	False	UI/skins/default/panorama_badlands.png	Chaos	True
wh2_main_skv_skaven	1249291637	0	False	UI/skins/default/panorama_skaven.png	Skaven	False
wh_dlc03_bst_beastmen	1249291641	0	False	UI/skins/default/panorama_beastmen.png	Beastmen	False
wh_dlc05_wef_wood_elves	1249291644	0	False	UI/skins/default/panorama_wood_elves.png	Wood_Elves	False
wh_main_brt_bretonnia	1249291663	0	False	UI/skins/default/panorama_bretonia.png	Bretonnia	False
wh_main_chs_chaos	1249291612	0	False	UI/skins/default/panorama_norsca.png	Chaos	False
wh_main_dwf_dwarfs	1249291620	0	False	UI/skins/default/panorama_dwarfs.png	Dwarfs	False
wh_main_emp_empire	1249291607	0	False	UI/skins/default/panorama_empire.png	Empire	False
wh_main_grn_greenskins	1249291599	0	False	UI/skins/default/panorama_badlands.png	Greenskins	False
wh_main_vmp_vampire_counts	1249291664	0	False	UI/skins/default/panorama_vampire_counts.png	Vampire_Counts	False
