armed_citizenry_units_to_unit_groups_junctions_tables
0
id	unknown	priority	unit	unit_group
0	0	200	wh_main_grn_inf_orc_boyz	default
10007	0	200	wh_main_brt_inf_men_at_arms	brt_test_garrison
10015	0	200	wh_main_dwf_inf_dwarf_warrior_0	dwf_test_garrison
1013648631	0	5	wh_dlc07_brt_inf_men_at_arms_2	wh_dlc07_brt_inf_men_at_arms_2
1053325931	0	5	wh_dlc07_brt_inf_spearmen_at_arms_1	wh_dlc07_brt_inf_spearmen_at_arms_1
10714	0	2	wh_main_brt_art_field_trebuchet	wh_main_brt_art_field_trebuchet
10716	0	0	wh_main_brt_cav_grail_knights	wh_main_brt_cav_grail_knights
10718	0	2	wh_main_brt_cav_knights_of_the_realm	wh_main_brt_cav_knights_of_the_realm
10726	0	4	wh_main_brt_cav_mounted_yeomen_0	wh_main_brt_cav_mounted_yeomen_0
10734	0	4	wh_main_brt_cav_mounted_yeomen_1	wh_main_brt_cav_mounted_yeomen_1
10735	0	0	wh_main_brt_cav_pegasus_knights	wh_main_brt_cav_pegasus_knights
10738	0	5	wh_main_brt_inf_men_at_arms	wh_main_brt_inf_men_at_arms
10741	0	5	wh_main_brt_inf_peasant_bowmen	wh_main_brt_inf_peasant_bowmen
10747	0	6	wh_main_brt_inf_spearmen_at_arms	wh_main_brt_inf_spearmen_at_arms
10749	0	2	wh_main_dwf_art_cannon	wh_main_dwf_art_cannon
10758	0	1	wh_main_dwf_art_flame_cannon	wh_main_dwf_art_flame_cannon
10775	0	2	wh_main_dwf_art_grudge_thrower	wh_main_dwf_art_grudge_thrower
10781	0	1	wh_main_dwf_art_organ_gun	wh_main_dwf_art_organ_gun
10793	0	4	wh_main_dwf_inf_dwarf_warrior_0	wh_main_dwf_inf_dwarf_warrior_0
10798	0	4	wh_main_dwf_inf_dwarf_warrior_1	wh_main_dwf_inf_dwarf_warrior_1
10801	0	0	wh_main_dwf_inf_hammerers	wh_main_dwf_inf_hammerers
10807	0	0	wh_main_dwf_inf_ironbreakers	wh_main_dwf_inf_ironbreakers
10813	0	0	wh_main_dwf_inf_irondrakes_0	wh_main_dwf_inf_irondrakes_0
10818	0	1	wh_main_dwf_inf_longbeards_1	wh_main_dwf_inf_longbeards_1
10820	0	6	wh_main_dwf_inf_miners_0	wh_main_dwf_inf_miners_0
10825	0	4	wh_main_dwf_inf_miners_1	wh_main_dwf_inf_miners_1
10834	0	3	wh_main_dwf_inf_quarrellers_0	wh_main_dwf_inf_quarrellers_0
10839	0	3	wh_main_dwf_inf_quarrellers_1	wh_main_dwf_inf_quarrellers_1
10847	0	2	wh_main_dwf_inf_slayers	wh_main_dwf_inf_slayers
10853	0	3	wh_main_dwf_inf_thunderers_0	wh_main_dwf_inf_thunderers_0
10859	0	0	wh_main_dwf_veh_gyrobomber	wh_main_dwf_veh_gyrobomber
10865	0	1	wh_main_dwf_veh_gyrocopter_0	wh_main_dwf_veh_gyrocopter_0
10873	0	1	wh_main_dwf_veh_gyrocopter_1	wh_main_dwf_veh_gyrocopter_1
10879	0	2	wh_main_emp_art_great_cannon	wh_main_emp_art_great_cannon
10889	0	1	wh_main_emp_art_helblaster_volley_gun	wh_main_emp_art_helblaster_volley_gun
10900	0	2	wh_main_emp_art_helstorm_rocket_battery	wh_main_emp_art_helstorm_rocket_battery
10906	0	2	wh_main_emp_art_mortar	wh_main_emp_art_mortar
1091695249	0	0	wh_main_chs_cav_chaos_knights_1	wh_main_chs_cav_chaos_knights_1
10918	0	0	wh_main_emp_cav_demigryph_knights_0	wh_main_emp_cav_demigryph_knights_0
10924	0	0	wh_main_emp_cav_demigryph_knights_1	wh_main_emp_cav_demigryph_knights_1
10926	0	3	wh_main_emp_cav_outriders_0	wh_main_emp_cav_outriders_0
10928	0	3	wh_main_emp_cav_outriders_1	wh_main_emp_cav_outriders_1
10938	0	4	wh_main_emp_cav_pistoliers_1	wh_main_emp_cav_pistoliers_1
10945	0	1	wh_main_emp_cav_reiksguard	wh_main_emp_cav_reiksguard
10953	0	3	wh_main_emp_inf_crossbowmen	wh_main_emp_inf_crossbowmen
10956	0	1	wh_main_emp_inf_greatswords	wh_main_emp_inf_greatswords
10961	0	3	wh_main_emp_inf_halberdiers	wh_main_emp_inf_halberdiers
10964	0	2	wh_main_emp_inf_handgunners	wh_main_emp_inf_handgunners
10969	0	6	wh_main_emp_inf_spearmen_0	wh_main_emp_inf_spearmen_0
10970	0	5	wh_main_emp_inf_spearmen_1	wh_main_emp_inf_spearmen_1
10972	0	4	wh_main_emp_inf_swordsmen	wh_main_emp_inf_swordsmen
10973	0	0	wh_main_emp_veh_luminark_of_hysh_0	wh_main_emp_veh_luminark_of_hysh_0
10977	0	0	wh_main_emp_veh_steam_tank	wh_main_emp_veh_steam_tank
10987	0	1	wh_main_grn_art_doom_diver_catapult	wh_main_grn_art_doom_diver_catapult
10998	0	3	wh_main_grn_cav_forest_goblin_spider_riders_0	wh_main_grn_cav_forest_goblin_spider_riders_0
11006	0	3	wh_main_grn_cav_forest_goblin_spider_riders_1	wh_main_grn_cav_forest_goblin_spider_riders_1
11009	0	3	wh_main_grn_cav_goblin_wolf_chariot	wh_main_grn_cav_goblin_wolf_chariot
11015	0	3	wh_main_grn_cav_goblin_wolf_riders_0	wh_main_grn_cav_goblin_wolf_riders_0
