battlefield_buildings_with_projectiles_names_tables
0
building_category	name	projectile
fort_tower	fort_tower	wh2_tower_def_bolt_1
fort_tower	fort_tower	wh2_tower_def_bolt_2
fort_tower	fort_tower	wh2_tower_def_magic_missile_1
fort_tower	fort_tower	wh2_tower_def_magic_missile_2
fort_tower	fort_tower	wh2_tower_hef_bolt_1
fort_tower	fort_tower	wh2_tower_hef_bolt_2
fort_tower	fort_tower	wh2_tower_hef_magic_missile_1
fort_tower	fort_tower	wh2_tower_hef_magic_missile_2
fort_tower	fort_tower	wh2_tower_lzd_bolt_1
fort_tower	fort_tower	wh2_tower_lzd_bolt_2
fort_tower	fort_tower	wh2_tower_lzd_magic_missile
fort_tower	fort_tower	wh2_tower_lzd_solar_engine_beam
fort_tower	fort_tower	wh2_tower_skv_doomrocket
fort_tower	fort_tower	wh2_tower_skv_sniper_bullet_1
fort_tower	fort_tower	wh2_tower_skv_sniper_bullet_2
fort_tower	fort_tower	wh2_tower_skv_warp_lightning
fort_tower	fort_tower	wh_gen_tower_flammable_rock
fort_tower	fort_tower	wh_gen_tower_flammable_rock_short_range
fort_tower	fort_tower	wh_tower_brt_arrow
fort_tower	fort_tower	wh_tower_brt_arrow_improved
fort_tower	fort_tower	wh_tower_brt_blessed_stone
fort_tower	fort_tower	wh_tower_brt_carcass
fort_tower	fort_tower	wh_tower_dwf_bullet
fort_tower	fort_tower	wh_tower_dwf_bullet_improved
fort_tower	fort_tower	wh_tower_dwf_cannon_ball
fort_tower	fort_tower	wh_tower_dwf_fused_beer_keg
fort_tower	fort_tower	wh_tower_emp_bullet
fort_tower	fort_tower	wh_tower_emp_bullet_improved
fort_tower	fort_tower	wh_tower_emp_cannon_ball
fort_tower	fort_tower	wh_tower_emp_clockwork_bomb
fort_tower	fort_tower	wh_tower_grn_arrow
fort_tower	fort_tower	wh_tower_grn_arrow_improved
fort_tower	fort_tower	wh_tower_grn_giant_dungball
fort_tower	fort_tower	wh_tower_grn_rock_idol
fort_tower	fort_tower	wh_tower_vmp_bones
fort_tower	fort_tower	wh_tower_vmp_bones_improved
fort_tower	fort_tower	wh_tower_vmp_caged_bats
fort_tower	fort_tower	wh_tower_vmp_corpse_ball
