unit_attributes_to_groups_junctions_tables
2
attribute	attribute_group
berserk	berserker_infantry_cold
berserk	wh_berserk_fear
berserk	wh_berserk_fear_terror_undead
berserk	wh_berserker_infantry
cant_run	artillery
cant_run	artillery_cold
cant_run	wh2_cantRun_hideForest
cant_run	wh_amok_cantRun_fear_immuneToPsych
cant_run	wh_cantRun
cant_run	wh_cantRun_encourage
cant_run	wh_cantRun_encourage_heatResist
cant_run	wh_cantRun_expendable
cant_run	wh_cantRun_fear_terror
cant_run	wh_cantRun_heatResist
cant_run	wh_cantRun_immuneToPsych
cant_run	wh_cantRun_unbreakable
causes_fear	berserker_infantry_cold
causes_fear	elephant_indian
causes_fear	elephants
causes_fear	wh2_chargeReflector_fear_hideForest
causes_fear	wh2_encourage_fear_hideForest_immuneToPsych
causes_fear	wh2_encourage_fear_hideForest_mountedFireMove
causes_fear	wh2_encourage_fear_immuneToPsych
causes_fear	wh2_encourage_fear_unbreakable
causes_fear	wh2_fatigueImmune_fear_terror
causes_fear	wh2_fear_guerrilla_mountedFireMove
causes_fear	wh2_fear_hideForest_rampage
causes_fear	wh2_fear_mountedFireMove
causes_fear	wh2_fear_mountedFireMove_terror
causes_fear	wh2_fear_rampage
causes_fear	wh2_fear_rampage_terror
causes_fear	wh2_fear_rampage_unbreakable
causes_fear	wh2_hideForest_fear_terror
causes_fear	wh_amok_cantRun_fear_immuneToPsych
causes_fear	wh_amok_fear_immuneToPsych
causes_fear	wh_berserk_fear
causes_fear	wh_cantRun_fear_terror
causes_fear	wh_chargeReflectorVsL_fear_hideForest_undead
causes_fear	wh_encourage_fear
causes_fear	wh_encourage_fear_hideForest
causes_fear	wh_encourage_fear_hideForest_immuneToPsych
causes_fear	wh_encourage_fear_hideForest_terror_guerrilla_deploy_unbreakable
causes_fear	wh_encourage_fear_hideForest_terror_undead
causes_fear	wh_encourage_fear_hideForest_unbreakable_terror
causes_fear	wh_encourage_fear_hideForest_unbreakable_terror_undead
causes_fear	wh_encourage_fear_hideForest_undead
causes_fear	wh_encourage_fear_immuneToPsych_strider
causes_fear	wh_encourage_fear_mountedFireMove
causes_fear	wh_encourage_fear_terror
causes_fear	wh_encourage_fear_terror_mountedFireMove
causes_fear	wh_encourage_fear_terror_mountedFireMove_strider
causes_fear	wh_encourage_fear_terror_unbreakable
causes_fear	wh_encourage_fear_terror_undead
causes_fear	wh_encourage_fear_undead
causes_fear	wh_encourage_hideForest_fear
causes_fear	wh_encourage_hideForest_fear_terror
causes_fear	wh_encourage_hideForest_fear_terror_chargeReflectorVsL
causes_fear	wh_encourage_strider_fear_terror_mountedFireMove
causes_fear	wh_fatigue_fear_terror
causes_fear	wh_fear
causes_fear	wh_fear_guerilla_hideForest_undead_stalk
causes_fear	wh_fear_guerrilla_hideForest_terror_undead
causes_fear	wh_fear_guerrilla_hideForest_terror_undead_encourge
causes_fear	wh_fear_guerrilla_hideForest_undead
causes_fear	wh_fear_guerrilla_hideForest_undead_immPsy
causes_fear	wh_fear_guerrilla_terror
causes_fear	wh_fear_guerrilla_terror_undead
causes_fear	wh_fear_guerrilla_undead
causes_fear	wh_fear_guerrilla_undead_terror
causes_fear	wh_fear_hideForest
causes_fear	wh_fear_hideForest_immPsy_chargeReflectorVsL
causes_fear	wh_fear_hideForest_immPsy_guerrilla
causes_fear	wh_fear_hideForest_immPsy_guerrilla_encourage
causes_fear	wh_fear_hideForest_terror
causes_fear	wh_fear_hideForest_terror_undead
causes_fear	wh_fear_hideForest_undead
causes_fear	wh_fear_hideForest_undead_chargeDeflector
causes_fear	wh_fear_hideForest_undead_stalk
causes_fear	wh_fear_hideForest_undead_unbreakable
causes_fear	wh_fear_strider_terror
causes_fear	wh_fear_terror
causes_fear	wh_fear_terror_hideForest_unbreakable_encourage
causes_fear	wh_fear_terror_strider
causes_fear	wh_fear_terror_unbreakable
causes_fear	wh_fear_terror_undead
causes_fear	wh_fear_terror_undead_unbreakable
causes_fear	wh_fear_unbreakable
causes_fear	wh_fear_undead
causes_fear	wh_guerrilla_hideForest_fear
causes_fear	wh_hideForest_fear_terror_chargeReflectorVsL
causes_terror	wh2_fatigueImmune_fear_terror
causes_terror	wh2_fear_mountedFireMove_terror
causes_terror	wh2_fear_rampage_terror
causes_terror	wh2_hideForest_fear_terror
causes_terror	wh_berserk_fear_terror_undead
causes_terror	wh_cantRun_fear_terror
