campaign_unit_stat_bonuses_tables
1
bonus	icon_path	level	threshold	upgrade_cost_new	upgrade_cost_from_previous_level
campaign_unit_stat_bonus_type_accuracy	ui/campaign ui/effect_bundles/technology_positive.png	0	1	0	0
campaign_unit_stat_bonus_type_accuracy	ui/campaign ui/effect_bundles/technology_positive.png	1	4	0	0
campaign_unit_stat_bonus_type_accuracy	ui/campaign ui/effect_bundles/technology_positive.png	2	9	0	0
campaign_unit_stat_bonus_type_accuracy	ui/campaign ui/effect_bundles/technology_positive.png	3	19	0	0
campaign_unit_stat_bonus_type_accuracy	ui/campaign ui/effect_bundles/technology_positive.png	4	39	0	0
campaign_unit_stat_bonus_type_ammunition	ui/campaign ui/effect_bundles/technology_positive.png	0	19	50	25
campaign_unit_stat_bonus_type_ammunition	ui/campaign ui/effect_bundles/technology_positive.png	1	39	150	75
campaign_unit_stat_bonus_type_ammunition	ui/campaign ui/effect_bundles/technology_positive.png	2	79	450	225
campaign_unit_stat_bonus_type_armour	ui/campaign ui/effect_bundles/technology_positive.png	0	4	50	25
campaign_unit_stat_bonus_type_armour	ui/campaign ui/effect_bundles/technology_positive.png	1	9	150	75
campaign_unit_stat_bonus_type_armour	ui/campaign ui/effect_bundles/technology_positive.png	2	19	450	225
campaign_unit_stat_bonus_type_attack	ui/campaign ui/effect_bundles/technology_positive.png	0	1	0	0
campaign_unit_stat_bonus_type_attack	ui/campaign ui/effect_bundles/technology_positive.png	1	4	0	0
campaign_unit_stat_bonus_type_attack	ui/campaign ui/effect_bundles/technology_positive.png	2	9	0	0
campaign_unit_stat_bonus_type_attack	ui/campaign ui/effect_bundles/technology_positive.png	3	19	0	0
campaign_unit_stat_bonus_type_attack	ui/campaign ui/effect_bundles/technology_positive.png	4	39	0	0
campaign_unit_stat_bonus_type_charge	ui/campaign ui/effect_bundles/technology_positive.png	0	1	0	0
campaign_unit_stat_bonus_type_charge	ui/campaign ui/effect_bundles/technology_positive.png	1	4	0	0
campaign_unit_stat_bonus_type_charge	ui/campaign ui/effect_bundles/technology_positive.png	2	9	0	0
campaign_unit_stat_bonus_type_charge	ui/campaign ui/effect_bundles/technology_positive.png	3	19	0	0
campaign_unit_stat_bonus_type_charge	ui/campaign ui/effect_bundles/technology_positive.png	4	39	0	0
campaign_unit_stat_bonus_type_defence	ui/campaign ui/effect_bundles/technology_positive.png	0	1	0	0
campaign_unit_stat_bonus_type_defence	ui/campaign ui/effect_bundles/technology_positive.png	1	4	0	0
campaign_unit_stat_bonus_type_defence	ui/campaign ui/effect_bundles/technology_positive.png	2	9	0	0
campaign_unit_stat_bonus_type_defence	ui/campaign ui/effect_bundles/technology_positive.png	3	19	0	0
campaign_unit_stat_bonus_type_defence	ui/campaign ui/effect_bundles/technology_positive.png	4	39	0	0
campaign_unit_stat_bonus_type_horses	ui/campaign ui/effect_bundles/technology_positive.png	0	4	50	25
campaign_unit_stat_bonus_type_horses	ui/campaign ui/effect_bundles/technology_positive.png	1	9	150	75
campaign_unit_stat_bonus_type_horses	ui/campaign ui/effect_bundles/technology_positive.png	2	19	450	225
campaign_unit_stat_bonus_type_hull_health	ui/campaign ui/effect_bundles/technology_positive.png	0	4	50	25
campaign_unit_stat_bonus_type_hull_health	ui/campaign ui/effect_bundles/technology_positive.png	1	9	150	75
campaign_unit_stat_bonus_type_hull_health	ui/campaign ui/effect_bundles/technology_positive.png	2	19	450	225
campaign_unit_stat_bonus_type_morale	ui/campaign ui/effect_bundles/technology_positive.png	0	1	0	0
campaign_unit_stat_bonus_type_morale	ui/campaign ui/effect_bundles/technology_positive.png	1	4	0	0
campaign_unit_stat_bonus_type_morale	ui/campaign ui/effect_bundles/technology_positive.png	2	9	0	0
campaign_unit_stat_bonus_type_morale	ui/campaign ui/effect_bundles/technology_positive.png	3	19	0	0
campaign_unit_stat_bonus_type_morale	ui/campaign ui/effect_bundles/technology_positive.png	4	39	0	0
campaign_unit_stat_bonus_type_shield	ui/campaign ui/effect_bundles/technology_positive.png	0	4	50	25
campaign_unit_stat_bonus_type_shield	ui/campaign ui/effect_bundles/technology_positive.png	1	9	150	75
campaign_unit_stat_bonus_type_shield	ui/campaign ui/effect_bundles/technology_positive.png	2	19	450	225
campaign_unit_stat_bonus_type_weapon	ui/campaign ui/effect_bundles/technology_positive.png	0	4	50	25
campaign_unit_stat_bonus_type_weapon	ui/campaign ui/effect_bundles/technology_positive.png	1	9	150	75
campaign_unit_stat_bonus_type_weapon	ui/campaign ui/effect_bundles/technology_positive.png	2	19	450	225
