unit_banner_unit_height_offsets_tables
0
height_offset	unit
6	wh2_main_def_cha_death_hag_1
3	wh2_main_def_cha_dreadlord_4
3	wh2_main_def_cha_dreadlord_female_4
3	wh2_main_def_cha_malekith_3
3	wh2_main_def_mon_black_dragon
4	wh2_main_def_mon_war_hydra
3	wh2_main_hef_cha_prince_4
3	wh2_main_hef_cha_prince_5
3	wh2_main_hef_cha_princess_4
3	wh2_main_hef_cha_princess_5
3	wh2_main_hef_mon_moon_dragon
3	wh2_main_hef_mon_star_dragon
3	wh2_main_hef_mon_sun_dragon
5	wh2_main_lzd_cha_lord_mazdamundi_0
5	wh2_main_lzd_cha_lord_mazdamundi_1
5	wh2_main_lzd_cha_slann_mage_priest_campaign_0
5	wh2_main_lzd_cha_slann_mage_priest_heavens_0
5	wh2_main_lzd_cha_slann_mage_priest_high_0
5	wh2_main_lzd_cha_slann_mage_priest_light_0
3	wh2_main_lzd_mon_ancient_stegadon
3	wh2_main_skv_cha_grey_seer_plague_1
3	wh2_main_skv_cha_grey_seer_ruin_1
3	wh2_main_skv_cha_plague_priest_2
2	wh2_main_skv_mon_hell_pit_abomination
2	wh_dlc01_chs_cha_chaos_lord_10
3	wh_dlc01_chs_cha_chaos_lord_2
3	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10
2	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9
3	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10
2	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9
3	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10
2	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9
2	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_3
3	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_4
2	wh_dlc01_chs_cha_chaos_sorcerer_shadows_3
2	wh_dlc01_chs_cha_exalted_hero_10
2	wh_dlc03_bst_feral_manticore
3	wh_dlc04_vmp_cha_strigoi_ghoul_king_1
3	wh_dlc05_vmp_cha_red_duke_3
3	wh_dlc05_wef_cha_female_glade_lord_3
3	wh_dlc05_wef_cha_glade_lord_3
3	wh_dlc05_wef_forest_dragon_0
2	wh_dlc06_chs_feral_manticore
2	wh_main_bst_feral_manticore_summoned
3	wh_main_vmp_cha_mannfred_von_carstein_3
3	wh_main_vmp_cha_vampire_lord_3
3	wh_main_vmp_mon_terrorgheist
4	wh_main_vmp_mon_terrorgheist_qb
