provincial_initiative_records_tables
3
key	effect_bundle	order	icon_path	campaign_vfx_id	unknown5
wh2_main_edict_def_demand_hostages	wh2_main_edict_def_demand_hostages	1	UI/Campaign UI/edicts/def_demand_highborn_hostages.png		
wh2_main_edict_def_enforce_tribute	wh2_main_edict_def_enforce_tribute	2	UI/Campaign UI/edicts/def_enforce_tribute_payments.png		
wh2_main_edict_def_festivals_of_hedonism	wh2_main_edict_def_festivals_of_hedonism	3	UI/Campaign UI/edicts/def_sacrifices_for_khaine.png		wh_main_religion_chaos
wh2_main_edict_def_increase_production	wh2_main_edict_def_increase_production	4	UI/Campaign UI/edicts/def_increase_slave_production_quota.png		
wh2_main_edict_def_read_portents	wh2_main_edict_def_read_portents	5	UI/Campaign UI/edicts/def_read_dark_portents.png		
wh2_main_edict_def_sacrifices_for_khaine	wh2_main_edict_def_sacrifices_for_khaine	3	UI/Campaign UI/edicts/def_sacrifices_for_khaine.png		wh_main_religion_untainted
wh2_main_edict_hef_banish_corruption	wh2_main_edict_hef_banish_corruption	5	UI/Campaign UI/edicts/hef_banish_corruption.png		
wh2_main_edict_hef_rally_citizen_militia	wh2_main_edict_hef_rally_citizen_militia	4	UI/Campaign UI/edicts/hef_rally_citizen_militia.png		
wh2_main_edict_hef_reaver_patrols	wh2_main_edict_hef_reaver_patrols	1	UI/Campaign UI/edicts/hef_reaver_patrol.png		
wh2_main_edict_hef_rebuild_lost_splendour	wh2_main_edict_hef_rebuild_lost_splendour	3	UI/Campaign UI/edicts/hef_rebuild_lost_splendour.png		
wh2_main_edict_hef_tribute_for_the_king	wh2_main_edict_hef_tribute_for_the_king	2	UI/Campaign UI/edicts/hef_tribute_to_the_phoenix_king.png		
wh2_main_edict_lzd_alignment_of_crafting_1	wh2_main_edict_lzd_alignment_of_crafting	5	UI/Campaign UI/edicts/lzd_alignment_of_building.png		
wh2_main_edict_lzd_alignment_of_monuments_1	wh2_main_edict_lzd_alignment_of_monuments	4	UI/Campaign UI/edicts/lzd_alignment_of_artisanry.png		
wh2_main_edict_lzd_alignment_of_order_1	wh2_main_edict_lzd_alignment_of_order	3	UI/Campaign UI/edicts/lzd_alignment_of_order.png		
wh2_main_edict_lzd_alignment_of_war_1	wh2_main_edict_lzd_alignment_of_war	2	UI/Campaign UI/edicts/lzd_alignment_of_war.png		
wh2_main_edict_skv_devious_planning	wh2_main_edict_skv_devious_planning	4	UI/Campaign UI/edicts/skv_food_scheme.png		
wh2_main_edict_skv_efficient_planning	wh2_main_edict_skv_efficient_planning	1	UI/Campaign UI/edicts/skv_efficient_scheming.png		
wh2_main_edict_skv_expansionist_planning	wh2_main_edict_skv_expansionist_planning	2	UI/Campaign UI/edicts/skv_expansionist_scheming.png		
wh2_main_edict_skv_martial_planning	wh2_main_edict_skv_martial_planning	3	UI/Campaign UI/edicts/skv_martial_scheming.png		
wh_main_edict_brag_about_da_boss	wh_main_edict_brag_about_da_boss	3	UI/Campaign UI/edicts/wh_main_edict_brag_about_da_boss.png		
wh_main_edict_camp_ruckus	wh_main_edict_camp_ruckus	1	UI/Campaign UI/edicts/wh_main_edict_camp_ruckus.png		
wh_main_edict_collect_tribute	wh_main_edict_collect_tribute	3	UI/Campaign UI/edicts/wh_main_edict_collect_tribute.png		
wh_main_edict_council_of_burgomeisters	wh_main_edict_council_of_burgomeisters	4	UI/Campaign UI/edicts/wh_main_edict_council_of_burgomeisters.png		
wh_main_edict_empower_the_guilds	wh_main_edict_empower_the_guilds	3	UI/Campaign UI/edicts/wh_main_edict_empower_the_guilds.png		
wh_main_edict_evocation_of_nagash	wh_main_edict_evocation_of_nagash	5	UI/Campaign UI/edicts/wh_main_edict_evocation_of_nagash.png		
wh_main_edict_extensive_patrols	wh_main_edict_extensive_patrols	4	UI/Campaign UI/edicts/wh_main_edict_state_troop_levy.png		
wh_main_edict_foster_independence	wh_main_edict_foster_independence	2	UI/Campaign UI/edicts/wh_main_edict_foster_independence.png		
wh_main_edict_foster_terror	wh_main_edict_foster_terror	2	UI/Campaign UI/edicts/wh_main_edict_foster_terror.png		
wh_main_edict_give_it_ere	wh_main_edict_give_it_ere	2	UI/Campaign UI/edicts/wh_main_edict_give_it_ere.png		
wh_main_edict_grand_market_charter	wh_main_edict_grand_market_charter	4	UI/Campaign UI/edicts/wh_main_edict_grand_market_charter.png		
