faction_rebellion_units_junctions_tables
0
faction_key	unit_key
wh2_main_brt_knights_of_origo	wh_main_brt_art_field_trebuchet
wh2_main_brt_knights_of_origo	wh_main_brt_cav_grail_knights
wh2_main_brt_knights_of_origo	wh_main_brt_cav_knights_of_the_realm
wh2_main_brt_knights_of_origo	wh_main_brt_cav_mounted_yeomen_0
wh2_main_brt_knights_of_origo	wh_main_brt_cav_mounted_yeomen_1
wh2_main_brt_knights_of_origo	wh_main_brt_cav_pegasus_knights
wh2_main_brt_knights_of_origo	wh_main_brt_inf_men_at_arms
wh2_main_brt_knights_of_origo	wh_main_brt_inf_peasant_bowmen
wh2_main_brt_knights_of_origo	wh_main_brt_inf_spearmen_at_arms
wh2_main_brt_knights_of_the_flame	wh_main_brt_art_field_trebuchet
wh2_main_brt_knights_of_the_flame	wh_main_brt_cav_grail_knights
wh2_main_brt_knights_of_the_flame	wh_main_brt_cav_knights_of_the_realm
wh2_main_brt_knights_of_the_flame	wh_main_brt_cav_mounted_yeomen_0
wh2_main_brt_knights_of_the_flame	wh_main_brt_cav_mounted_yeomen_1
wh2_main_brt_knights_of_the_flame	wh_main_brt_cav_pegasus_knights
wh2_main_brt_knights_of_the_flame	wh_main_brt_inf_men_at_arms
wh2_main_brt_knights_of_the_flame	wh_main_brt_inf_peasant_bowmen
wh2_main_brt_knights_of_the_flame	wh_main_brt_inf_spearmen_at_arms
wh2_main_brt_thegans_crusaders	wh_main_brt_art_field_trebuchet
wh2_main_brt_thegans_crusaders	wh_main_brt_cav_grail_knights
wh2_main_brt_thegans_crusaders	wh_main_brt_cav_knights_of_the_realm
wh2_main_brt_thegans_crusaders	wh_main_brt_cav_mounted_yeomen_0
wh2_main_brt_thegans_crusaders	wh_main_brt_cav_mounted_yeomen_1
wh2_main_brt_thegans_crusaders	wh_main_brt_cav_pegasus_knights
wh2_main_brt_thegans_crusaders	wh_main_brt_inf_men_at_arms
wh2_main_brt_thegans_crusaders	wh_main_brt_inf_peasant_bowmen
wh2_main_brt_thegans_crusaders	wh_main_brt_inf_spearmen_at_arms
wh2_main_bst_blooded_axe_brayherd	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_blooded_axe_brayherd	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_blooded_axe_brayherd	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_blooded_axe_brayherd	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_blooded_axe	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_blooded_axe	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_blooded_axe	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_blooded_axe	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_manblight_brayherd	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_manblight_brayherd	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_manblight_brayherd	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_manblight_brayherd	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_manblight	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_manblight	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_manblight	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_manblight	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_ripper_horn_brayherd	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_ripper_horn_brayherd	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_ripper_horn_brayherd	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_ripper_horn_brayherd	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_ripper_horn	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_ripper_horn	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_ripper_horn	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_ripper_horn	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_shadowgor_brayherd	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_shadowgor_brayherd	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_shadowgor_brayherd	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_shadowgor_brayherd	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_shadowgor	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_shadowgor	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_shadowgor	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_shadowgor	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_skrinderkin_brayherd	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_skrinderkin_brayherd	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_skrinderkin_brayherd	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_skrinderkin_brayherd	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_skrinderkin	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_skrinderkin	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_skrinderkin	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_skrinderkin	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_stone_horn_brayherd	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_stone_horn_brayherd	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_stone_horn_brayherd	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_stone_horn_brayherd	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_stone_horn	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_stone_horn	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_stone_horn	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_stone_horn	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_def_bleak_holds	wh2_main_def_art_reaper_bolt_thrower
wh2_main_def_bleak_holds	wh2_main_def_cav_cold_one_chariot
wh2_main_def_bleak_holds	wh2_main_def_cav_cold_one_knights_0
wh2_main_def_bleak_holds	wh2_main_def_cav_cold_one_knights_1
wh2_main_def_bleak_holds	wh2_main_def_cav_dark_riders_0
wh2_main_def_bleak_holds	wh2_main_def_cav_dark_riders_1
wh2_main_def_bleak_holds	wh2_main_def_cav_dark_riders_2
wh2_main_def_bleak_holds	wh2_main_def_inf_black_ark_corsairs_0
wh2_main_def_bleak_holds	wh2_main_def_inf_black_ark_corsairs_1
wh2_main_def_bleak_holds	wh2_main_def_inf_bleakswords_0
wh2_main_def_bleak_holds	wh2_main_def_inf_darkshards_0
wh2_main_def_bleak_holds	wh2_main_def_inf_darkshards_1
wh2_main_def_bleak_holds	wh2_main_def_inf_dreadspears_0
wh2_main_def_bleak_holds	wh2_main_def_inf_harpies
wh2_main_def_bleak_holds	wh2_main_def_inf_shades_0
wh2_main_def_bleak_holds	wh2_main_def_inf_shades_1
wh2_main_def_bleak_holds	wh2_main_def_inf_shades_2
wh2_main_def_bleak_holds	wh2_main_def_inf_witch_elves_0
wh2_main_def_bleak_holds	wh2_main_def_mon_war_hydra
wh2_main_def_blood_hall_coven	wh2_main_def_art_reaper_bolt_thrower
wh2_main_def_blood_hall_coven	wh2_main_def_cav_cold_one_chariot
wh2_main_def_blood_hall_coven	wh2_main_def_cav_cold_one_knights_0
wh2_main_def_blood_hall_coven	wh2_main_def_cav_cold_one_knights_1
wh2_main_def_blood_hall_coven	wh2_main_def_cav_dark_riders_0
wh2_main_def_blood_hall_coven	wh2_main_def_cav_dark_riders_1
wh2_main_def_blood_hall_coven	wh2_main_def_cav_dark_riders_2
wh2_main_def_blood_hall_coven	wh2_main_def_inf_black_ark_corsairs_0
wh2_main_def_blood_hall_coven	wh2_main_def_inf_black_ark_corsairs_1
wh2_main_def_blood_hall_coven	wh2_main_def_inf_bleakswords_0
wh2_main_def_blood_hall_coven	wh2_main_def_inf_darkshards_0
wh2_main_def_blood_hall_coven	wh2_main_def_inf_darkshards_1
