character_traits_tables
2
key	no_going_back_level	hidden	precedence	icon	unknown5	pre_battle_speech_parameter
wh2_main_trait_agent_action_assassinate	1	False	1	trait_good	1	
wh2_main_trait_agent_action_assault_garrison	1	False	1	trait_good	1	
wh2_main_trait_agent_action_assault_unit	1	False	1	trait_good	1	
wh2_main_trait_agent_action_assault_units	1	False	1	trait_good	1	
wh2_main_trait_agent_action_block_army	1	False	1	trait_good	1	
wh2_main_trait_agent_action_cause_earthquake	1	False	1	trait_good	1	
wh2_main_trait_agent_action_damage_building	1	False	1	trait_good	1	
wh2_main_trait_agent_action_damage_walls	1	False	1	trait_good	1	
wh2_main_trait_agent_action_hinder_replenishment	1	False	1	trait_good	1	
wh2_main_trait_agent_action_scout_settlement	1	False	1	trait_good	1	
wh2_main_trait_agent_action_steal_technology	1	False	1	trait_good	1	
wh2_main_trait_agent_action_wound	1	False	1	trait_good	1	
wh2_main_trait_agent_actions	1	False	1	trait_good	1	
wh2_main_trait_agent_actions_against_beastmen	1	False	1	trait_good	1	
wh2_main_trait_agent_actions_against_chaos	1	False	1	trait_good	1	
wh2_main_trait_agent_actions_against_dark_elves	1	False	1	trait_good	1	
wh2_main_trait_agent_actions_against_dwarfs	1	False	1	trait_good	1	
wh2_main_trait_agent_actions_against_greenskins	1	False	1	trait_good	1	
wh2_main_trait_agent_actions_against_high_elves	1	False	1	trait_good	1	
wh2_main_trait_agent_actions_against_humans	1	False	1	trait_good	1	
wh2_main_trait_agent_actions_against_lizardmen	1	False	1	trait_good	1	
wh2_main_trait_agent_actions_against_skaven	1	False	1	trait_good	1	
wh2_main_trait_agent_actions_against_vampires	1	False	1	trait_good	1	
wh2_main_trait_agent_actions_against_wood_elves	1	False	1	trait_good	1	
wh2_main_trait_agent_target_fail	1	False	1	trait_good	1	
wh2_main_trait_agent_target_success	1	False	1	trait_bad	-1	
wh2_main_trait_attacking_defeat	1	False	1	trait_bad	-1	
wh2_main_trait_attacking_victory	1	False	1	trait_good	1	
wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_1	1	False	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_2	1	False	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_beasts_3	1	False	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_a_1	1	False	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_a_2	1	False	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_b_1	1	False	1	dark_elves	0	
wh2_main_trait_black_ark_building_wh2_main_horde_def_bombardment_b_2	1	False	1	dark_elves	0	
